celltype_new,SHH_UCell_score
Arterial endothelial cells,0.0
Brain capillary endothelial cells,0.0
Brain pericytes,0.0
Endocardial cells,0.0
Endothelium,0.0
Glomerular endothelial cells,0.0
Hematoendothelial progenitors,0.0
Liver sinusoidal endothelial cells,0.0
Lymphatic vessel endothelial cells,0.0
Microvascular endothelial cells,0.0
Pericytes,0.0
Venous and capillary endothelial cells,0.0
