id	meta_group	celltype_new	system	sh
90	Ep_M9	Dental epithelial cells	Epithelial_cells	0.240852782497251
91	Ey_M1	Amacrine cells	Eye	-0.173673382223519
92	Ey_M10	Naive retinal progenitor cells	Eye	0.206525927422506
93	Ey_M11	Optic stalk	Eye	0.0420554981258356
94	Ey_M12	Photoreceptor precursor cells	Eye	-0.131390885178292
95	Ey_M13	PV-containing retinal ganglion cells	Eye	-0.274680210882581
96	Ey_M14	Retinal ganglion cells	Eye	-0.234392353576923
97	Ey_M15	Retinal pigment cells	Eye	-0.0829485150906325
98	Ey_M16	Retinal progenitor cells	Eye	-0.0902335611835038
99	Ey_M17	Rod precursor cells	Eye	-0.117453597261805
100	Ey_M18	Suprachiasmatic nucleus	Eye	0.0392232050657153
101	Ey_M2	Amacrine/Horizontal precursor cells	Eye	-0.145270168416606
102	Ey_M3	Bipolar precursor cells	Eye	-0.194665496904294
103	Ey_M4	Cholinergic amacrine cells	Eye	-0.161820220785645
104	Ey_M5	Ciliary margin cells	Eye	-0.130966181197112
105	Ey_M6	Cone precursor cells	Eye	-0.15376634358329
106	Ey_M7	Eye field	Eye	-0.0440680175168317
107	Ey_M8	Horizontal cells	Eye	-0.180700382622607
108	Ey_M9	Iris pigment epithelium	Eye	-0.130661801395115
109	G_M1	Airway club cells	Gut	-0.0206493336880851
110	G_M10	Intestinal enteroendocrine cells	Gut	-0.0755823789796426
111	G_M11	Intestinal goblet cells	Gut	-0.0847862749814759
112	G_M12	Lung cells (Eln+)	Gut	0.10151414866275
113	G_M13	Lung progenitor cells	Gut	0.190756519697656
114	G_M14	Midgut/Hindgut epithelial cells	Gut	-0.0781814835456846
115	G_M15	Pancreatic acinar cells	Gut	0.018632283508539
116	G_M16	Pancreatic islets	Gut	-0.0188888893087795
117	G_M2	Airway goblet cells	Gut	-0.0712478585356201
118	G_M3	Alveolar Type 1 cells	Gut	0.0117099682790253
119	G_M4	Alveolar Type 2 cells	Gut	-0.0372506995427487
120	G_M5	Biliary epithelial cells	Gut	-0.0180251066973507
121	G_M6	Extraembryonic visceral endoderm	Gut	0
122	G_M7	Foregut epithelial cells	Gut	-0.0524685263908835
123	G_M8	Gut	Gut	0.379018408526469
124	G_M9	Hepatocytes	Gut	-0.0261198686920464
125	PG_M1	Melanocyte cells	PNS_glia	-0.106633613630398
126	PG_M2	Myelinating Schwann cells	PNS_glia	-0.0720904448778461
127	PG_M3	Myelinating Schwann cells (Tgfb2+)	PNS_glia	-0.0026569882257387
128	PG_M4	Neural crest (PNS glia)	PNS_glia	0.0437857167046495
129	PG_M5	Olfactory ensheathing cells	PNS_glia	-0.0322836695683082
130	PG_M6	Satellite glial cells	PNS_glia	0.065551894631417
131	PN_M1	Corticofugal neurons	PNS_neurons	-0.0612261671171153
132	PN_M2	Dorsal root ganglion neurons	PNS_neurons	-0.0538522522188048
133	PN_M3	Enteric neurons	PNS_neurons	0.0048197031741636
134	PN_M4	Neural crest (PNS neurons)	PNS_neurons	0.0161179755538754
135	PN_M5	Olfactory sensory neurons	PNS_neurons	-0.0397200938442468
136	PN_M6	Otic sensory neurons	PNS_neurons	0.0407444581496316
137	PN_M7	Parasympathetic neurons	PNS_neurons	0.0031810484313922
138	PN_M8	Sympathetic neurons	PNS_neurons	0.0253219994224815
139	R_M1	Anterior intermediate mesoderm	Renal	-0.0680901235816573
140	R_M10	Posterior intermediate mesoderm	Renal	0.0406316870737
141	R_M11	Proximal tubule cells	Renal	-0.113432941729947
142	R_M12	Renal pericytes and mesangial cells	Renal	0.230846124264849
143	R_M13	Ureteric bud	Renal	-0.0490144061200783
144	R_M14	Ureteric bud stalk	Renal	0.0324178979145123
145	R_M2	Ascending loop of Henle	Renal	-0.104737514637197
146	R_M3	Collecting duct intercalated cells	Renal	-0.0127542939109187
147	R_M4	Collecting duct principal cells	Renal	-0.0888744440697323
148	R_M5	Connecting tubule	Renal	-0.137326729417624
149	R_M6	Distal convoluted tubule	Renal	-0.146996639527301
150	R_M7	Metanephric mesenchyme	Renal	0.0013708019250943
151	R_M8	Nephron progenitors	Renal	-0.0501924591922861
152	R_M9	Podocytes	Renal	-0.0108841272892339
153	L_M1	Adrenocortical cells	Lateral_plate_mesoderm	-0.254195244468859
154	L_M10	Gastrointestinal smooth muscle cells	Lateral_plate_mesoderm	0.271367382532168
155	L_M11	Gonad progenitor cells	Lateral_plate_mesoderm	-0.261901207667288
156	L_M12	Granulosa cells	Lateral_plate_mesoderm	-0.263880704199826
157	L_M13	Gut mesenchyme	Lateral_plate_mesoderm	0.626816241204698
158	L_M14	Hepatic mesenchyme	Lateral_plate_mesoderm	0.0967961283052642
159	L_M15	Leydig cells	Lateral_plate_mesoderm	-0.0908153384910419
160	L_M16	Limb mesenchyme progenitors	Lateral_plate_mesoderm	-0.144475689175005
161	L_M17	Lung mesenchyme	Lateral_plate_mesoderm	0.548216613735268
162	L_M18	Meninges	Lateral_plate_mesoderm	-0.238094385473586
163	L_M19	Mesothelial cells	Lateral_plate_mesoderm	0.0081316707374003
164	L_M2	Airway smooth muscle cells	Lateral_plate_mesoderm	-0.114107028493577
165	L_M20	Proepicardium	Lateral_plate_mesoderm	-0.289156524243543
166	L_M21	Renal stromal cells	Lateral_plate_mesoderm	0.0836596313051978
167	L_M22	Second heart field	Lateral_plate_mesoderm	-0.0997022899245802
168	L_M23	Sertoli cells	Lateral_plate_mesoderm	-0.183442821550305
