system	meta_group	celltype_new	celltype_num	id	new_id
Endothelium	En_M6	Glomerular endothelial cells	17038	61	102
Brain_spinal_cord	BS_M19	Glutamatergic neurons (after E13.0)	570526	218	103
Lateral_plate_mesoderm	L_M11	Gonad progenitor cells	4598	155	104
Epithelial_cells	Ep_M10	Granular keratinocytes	41185	66	105
Blood	B_M10	Granulocytes	3547	182	106
Lateral_plate_mesoderm	L_M12	Granulosa cells	108	156	107
Gastrulation	Ga_M21	Gut	1896	37	108
Gastrulation	Ga_M22	Gut mesenchyme	1065	38	109
Gastrulation	Ga_M23	Hematoendothelial progenitors	2598	39	110
Blood	B_M11	Hematopoietic stem cells (Cd34+)	37750	183	111
Blood	B_M12	Hematopoietic stem cells (Mpo+)	23128	184	112
Lateral_plate_mesoderm	L_M14	Hepatic mesenchyme	28242	158	113
Gut	G_M9	Hepatocytes	289569	124	114
Gastrulation	Ga_M24	Hindbrain	1075	40	115
Eye	Ey_M8	Horizontal cells	910	107	116
Pre_gastrulation	PGa_M10	Hypoblast	44	10	117
Brain_spinal_cord	BS_M21	Hypothalamic Sim1 neurons	19592	221	118
Brain_spinal_cord	BS_M22	Hypothalamus	53378	222	119
Brain_spinal_cord	BS_M23	Hypothalamus (Sim1+)	14611	223	120
Pre_gastrulation	PGa_M7	Inner cell mass	90	7	121
Gastrulation	Ga_M25	Intermediate mesoderm	1064	41	122
Brain_spinal_cord	BS_M24	Intermediate neuronal progenitors	42068	224	123
Gut	G_M10	Intestinal enteroendocrine cells	536	110	124
Gut	G_M11	Intestinal goblet cells	1745	111	125
Eye	Ey_M9	Iris pigment epithelium	592	108	126
Blood	B_M13	Kupffer cells	33417	185	127
Gastrulation	Ga_M26	Lateral plate mesoderm	2580	42	128
Epithelial_cells	Ep_M11	Lens epithelial cells	1605	67	129
Lateral_plate_mesoderm	L_M15	Leydig cells	294	159	130
Lateral_plate_mesoderm	L_M16	Limb mesenchyme progenitors	223422	160	131
Endothelium	En_M8	Liver sinusoidal endothelial cells	30802	63	132
Gut	G_M12	Lung cells (Eln+)	5308	112	133
Lateral_plate_mesoderm	L_M17	Lung mesenchyme	74124	161	134
Gut	G_M13	Lung progenitor cells	28988	113	135
Endothelium	En_M9	Lymphatic vessel endothelial cells	25269	64	136
Blood	B_M14	Mast cells	23828	186	137
Blood	B_M15	Megakaryocyte-erythroid progenitors	13436	187	138
Blood	B_M16	Megakaryocytes	14777	188	139
PNS_glia	PG_M1	Melanocyte cells	3293	125	140
Lateral_plate_mesoderm	L_M18	Meninges	6376	162	141
Mesoderm	M_M11	Mesodermal progenitors (Tbx6+)	50325	266	142
Lateral_plate_mesoderm	L_M19	Mesothelial cells	59211	163	143
Renal	R_M7	Metanephric mesenchyme	29547	150	144
Blood	B_M17	Microglia	8382	189	145
Endothelium	En_M10	Microvascular endothelial cells	5624	54	146
Gastrulation	Ga_M27	Midbrain	1228	43	147
Brain_spinal_cord	BS_M26	Midbrain dopaminergic neurons	5495	226	148
Brain_spinal_cord	BS_M27	Midbrain-hindbrain boundary	66071	227	149
Gut	G_M14	Midgut/Hindgut epithelial cells	47855	114	150
Blood	B_M18	Monocytes	29268	190	151
Blood	B_M19	Monocytic myeloid-derived suppressor cells	24741	191	152
Pre_gastrulation	PGa_M6	Morula	3	6	153
Brain_spinal_cord	BS_M28	Multiciliated ependymal cells	10452	228	154
Mesoderm	M_M12	Muscle progenitor cells	27017	267	155
Mesoderm	M_M13	Muscle progenitor cells (Prdm1+)	5017	268	156
PNS_glia	PG_M2	Myelinating Schwann cells	35271	126	157
PNS_glia	PG_M3	Myelinating Schwann cells (Tgfb2+)	7151	127	158
Mesoderm	M_M14	Myoblasts	185751	269	159
Mesoderm	M_M15	Myofibroblasts	43951	270	160
Mesoderm	M_M16	Myotubes	43267	271	161
Brain_spinal_cord	BS_M31	NMPs and spinal cord progenitors	53734	232	162
Eye	Ey_M10	Naive retinal progenitor cells	52693	92	163
Gastrulation	Ga_M28	Nascent mesoderm	5501	44	164
Blood	B_M20	Natural killer cells	2961	193	165
Renal	R_M8	Nephron progenitors	20280	151	166
Gastrulation	Ga_M29	Neural crest	721	45	167
PNS_glia	PG_M4	Neural crest (PNS glia)	70165	128	168
PNS_neurons	PN_M4	Neural crest (PNS neurons)	51569	134	169
Brain_spinal_cord	BS_M29	Neural progenitor cells (Neurod1+)	23270	229	170
Brain_spinal_cord	BS_M30	Neural progenitor cells (Ror1+)	33240	231	171
Brain_spinal_cord	BS_M32	Neurons (Slc17a8+)	1957	233	172
Epithelial_cells	Ep_M12	Nonsensory cochlear epithelium	51	68	173
Gastrulation	Ga_M30	Notochord	952	46	174
Epithelial_cells	Ep_M13	Olfactory bulb cells	5888	69	175
PNS_glia	PG_M5	Olfactory ensheathing cells	3947	129	176
Epithelial_cells	Ep_M14	Olfactory epithelial cells	33331	70	177
Epithelial_cells	Ep_M15	Olfactory pit cells	2081	71	178
PNS_neurons	PN_M5	Olfactory sensory neurons	40019	135	179
Brain_spinal_cord	BS_M33	Oligodendrocyte progenitor cells	29522	234	180
Pre_gastrulation	PGa_M1	Oocyte	2	1	181
Eye	Ey_M11	Optic stalk	3457	93	182
Blood	B_M21	Osteoclasts	3323	194	183
Epithelial_cells	Ep_M16	Otic epithelial cells	29337	72	184
PNS_neurons	PN_M6	Otic sensory neurons	7844	136	185
Blood	B_M23	PMN myeloid-derived suppressor cells	15382	196	186
Eye	Ey_M13	PV-containing retinal ganglion cells	1133	95	187
Gut	G_M15	Pancreatic acinar cells	3747	115	188
Gut	G_M16	Pancreatic islets	1323	116	189
PNS_neurons	PN_M7	Parasympathetic neurons	8353	137	190
Epithelial_cells	Ep_M17	Parathyroid epithelial cells	433	73	191
Gastrulation	Ga_M31	Paraxial mesoderm (Tbx6+)	6185	47	192
Gastrulation	Ga_M32	Paraxial mesoderm (Tbx6-)	3107	48	193
Pre_gastrulation	PGa_M11	Parietal endoderm	79	11	194
Endothelium	En_M11	Pericytes	14055	55	195
Eye	Ey_M12	Photoreceptor precursor cells	4703	94	196
Epithelial_cells	Ep_M18	Pineal gland	540	74	197
Epithelial_cells	Ep_M19	Pituitary gland cells	4964	75	198
Epithelial_cells	Ep_M20	Pituitary/Pineal gland progenitors	2797	77	199
Epithelial_cells	Ep_M21	Placodal area	60938	78	200
Blood	B_M22	Plasmacytoid dendritic cells	1101	195	201
Renal	R_M9	Podocytes	4879	152	202
Renal	R_M10	Posterior intermediate mesoderm	10600	140	203
Brain_spinal_cord	BS_M35	Posterior roof plate	11623	236	204
Epithelial_cells	Ep_M22	Pre-epidermal keratinocytes	114402	79	205
Mesoderm	M_M17	Pre-osteoblasts (Sp7+)	135893	272	206
Brain_spinal_cord	BS_M36	Precerebellar neurons	1286	237	207
Gastrulation	Ga_M33	Primitive erythroid cells	6732	49	208
Pre_gastrulation	PGa_M16	Primitive streak	222	16	209
Gastrulation	Ga_M34	Primordial germ cells	380	50	210
Lateral_plate_mesoderm	L_M20	Proepicardium	9654	165	211
Renal	R_M11	Proximal tubule cells	16160	141	212
Blood	B_M25	Regulatory T cells	9800	198	213
Renal	R_M12	Renal pericytes and mesangial cells	7956	142	214
Lateral_plate_mesoderm	L_M21	Renal stromal cells	22908	166	215
Eye	Ey_M14	Retinal ganglion cells	11197	96	216
Eye	Ey_M15	Retinal pigment cells	3242	97	217
Eye	Ey_M16	Retinal progenitor cells	10201	98	218
Eye	Ey_M17	Rod precursor cells	2743	99	219
PNS_glia	PG_M6	Satellite glial cells	6916	130	220
Mesoderm	M_M18	Sclerotome	476671	273	221
Lateral_plate_mesoderm	L_M22	Second heart field	3537	167	222
Lateral_plate_mesoderm	L_M23	Sertoli cells	1719	168	223
Lateral_plate_mesoderm	L_M24	Somatic mesoderm	126741	169	224
Brain_spinal_cord	BS_M47	Spinal V0 interneurons	9397	249	225
Brain_spinal_cord	BS_M48	Spinal V1 interneurons	31325	250	226
