system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d
Endothelium,En_M7,En_M5,Hematoendothelial progenitors,Endothelium,Developmental progression,62,60,110,83,9693,0.0166762951804042,-0.1102619552612304,0.3883931601842244,0.3801712576085835,0.0670014925030002,0.2588464651159066,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,0.017796771402345098,-0.017796771402345098,-0.0698142940602003
Endothelium,En_M5,En_M12,Endothelium,Venous and capillary endothelial cells,Developmental progression,60,56,83,260,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,59523,-0.0359895360969035,-0.0998982620239257,0.2785395132700605,0.1544613006736891,0.0451076723893589,0.2123856689830059,0.0348690598749626,-0.0348690598749626,-0.15000367427851363
Endothelium,En_M5,En_M1,Endothelium,Arterial endothelial cells,Developmental progression,60,53,83,25,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,26943,0.0202074294997647,-0.1050440724690755,0.4425291287104287,0.3128456370856994,0.0710909719894045,0.2666289031395593,0.0213279057217056,0.0213279057217056,0.08238038943813768
Endothelium,En_M5,En_M2,Endothelium,Brain capillary endothelial cells,Developmental progression,60,57,83,38,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,15179,-0.0416709249983307,-0.1174606323242187,0.3008890002568565,0.202911917781145,0.044667759841852,0.2113474860078824,0.0405504487763898,-0.0405504487763898,-0.17480065263507266
Endothelium,En_M5,En_M11,Endothelium,Pericytes,Developmental progression,60,55,83,195,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,14055,0.1055929347471341,-0.0810172971089681,0.6387753817240399,0.415510494485948,0.1539567338829764,0.3923732073969582,0.10671341096907501,0.10671341096907501,0.3240296569399
Endothelium,En_M5,En_M8,Endothelium,Liver sinusoidal endothelial cells,Developmental progression,60,63,83,132,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,30802,-0.0317246070165741,-0.0953514830271403,0.2857910435994468,0.1491136939159794,0.0453660332228884,0.212993035620624,0.0306041307946332,-0.0306041307946332,-0.13149922699013092
Endothelium,En_M2,En_M3,Brain capillary endothelial cells,Brain pericytes,Developmental progression,57,58,38,39,15179,-0.0416709249983307,-0.1174606323242187,0.3008890002568565,0.202911917781145,0.044667759841852,0.2113474860078824,3617,-0.0664769853475335,-0.1408790715535481,0.2228747208913168,0.2358307990047,0.0407210868754541,0.2017946651313015,0.024806060349202803,-0.024806060349202803,-0.12005277960483053
Endothelium,En_M5,En_M4,Endothelium,Endocardial cells,Developmental progression,60,59,83,82,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,14071,-0.0103698197049186,-0.1148987706502278,0.3894161462783813,0.2634496482126359,0.0610115810977382,0.2470052248389459,0.0092493434829777,-0.0092493434829777,-0.03715010906379764
Endothelium,En_M5,En_M10,Endothelium,Microvascular endothelial cells,Developmental progression,60,54,83,146,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,5624,-0.0259317765105471,-0.0966828918457031,0.3239091927210489,0.1696301564722617,0.0489371198197585,0.2212173587667986,0.024811300288606203,-0.024811300288606203,-0.10489379896646746
Endothelium,En_M5,En_M6,Endothelium,Glomerular endothelial cells,Developmental progression,60,61,83,102,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,17038,0.0250167238457398,-0.0849899323781331,0.4838917357126876,0.2205071017725085,0.0920136685936825,0.3033375489346522,0.026137200067680697,0.026137200067680697,0.09389474987640022
Endothelium,En_M5,En_M9,Endothelium,Lymphatic vessel endothelial cells,Developmental progression,60,64,83,136,90215,-0.0011204762219409,-0.1146586100260416,0.4038801253636679,0.2831679875852131,0.0629627074980204,0.2509237085211767,25269,0.0254461987855457,-0.0924461428324381,0.4720728092193606,0.2747239700819185,0.0730977817333289,0.2703660143829637,0.0265666750074866,0.0265666750074866,0.1018558991066643
