system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,median_x,sh_x,q90_x,frac>0_x,variance_x,std_x,n_y,median_y,sh_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change,system_name
Blood,B_M27,B_M26,T-NK progenitors,T cells,Developmental progression,200.0,199.0,182,181,1901,0.0,0.0138961365363259,0.003,0.1004734350341925,0.0024397510975414,0.0493938366351653,70028,0.0,0.017122393899583,0.0,0.0949334551893528,0.0034540435011949,0.0587711111107736,0.003226,0.003226,0.0594,23.22,23.22,Blood
Blood,B_M27,B_M25,T-NK progenitors,Regulatory T cells,Developmental progression,200.0,198.0,182,180,1901,0.0,0.0138961365363259,0.003,0.1004734350341925,0.0024397510975414,0.0493938366351653,9800,0.0,0.0239902040816326,0.116688888888889,0.1465306122448979,0.0044051856007314,0.0663715722333846,0.010094,0.010094,0.1725,72.64,72.64,Blood
Blood,B_M5,B_M6,Border-associated macrophages,Border-associated macrophages (Ms4a8a+),Developmental progression,203.0,204.0,185,186,65191,0.0,0.007769830191284,0.0,0.0488410976975349,0.0015727115106012,0.0396574269286498,4736,0.0,0.0039840934684684,0.0,0.026393581081081,0.0007576308627331,0.027525095144851,0.003786,-0.003786,-0.1109,-48.72,48.72,Blood
Blood,B_M11,B_M3,Hematopoietic stem cells (Cd34+),B cell progenitors,Developmental progression,183.0,201.0,166,183,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,1295,0.0,0.0293317889317889,0.1462,0.1861003861003861,0.0051151577437156,0.0715203309815859,0.013531,0.013531,0.2157,85.63,85.63,Blood
Blood,B_M11,B_M15,Hematopoietic stem cells (Cd34+),Megakaryocyte-erythroid progenitors,Developmental progression,183.0,187.0,166,170,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,13436,0.0,0.0264352485858886,0.1267222222222222,0.1839833283715391,0.0044750089015404,0.0668955073345019,0.010634,0.010634,0.1768,67.3,67.3,Blood
Blood,B_M11,B_M22,Hematopoietic stem cells (Cd34+),Plasmacytoid dendritic cells,Developmental progression,183.0,195.0,166,178,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,1101,0.0,0.0237710162478554,0.1096666666666666,0.1353315168029064,0.0046431068790437,0.0681403469248851,0.00797,0.00797,0.131,50.44,50.44,Blood
Blood,B_M18,B_M7,Monocytes,Conventional dendritic cells,Developmental progression,190.0,205.0,173,187,29268,0.0,0.0056960540901705,0.0,0.0406245729123957,0.0010604886199337,0.0325651442486241,4582,0.0,0.0095962704301857,0.0,0.0571802706241815,0.0019485258751459,0.044142109998797,0.0039,0.0039,0.1006,68.47,68.47,Blood
Blood,B_M11,B_M10,Hematopoietic stem cells (Cd34+),Granulocytes,Developmental progression,183.0,182.0,166,165,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,3547,0.0,0.0074462299909156,0.0,0.0532844657457005,0.0013455086380899,0.0366811755276449,0.008355,-0.008355,-0.1845,-52.88,52.88,Blood
Blood,B_M18,B_M2,Monocytes,Adipose tissue macrophages,Developmental progression,190.0,192.0,173,175,29268,0.0,0.0056960540901705,0.0,0.0406245729123957,0.0010604886199337,0.0325651442486241,4190,0.0,0.0058215857862635,0.0,0.0369928400954653,0.0011030829853099,0.033212693135455,0.000126,0.000126,0.0038,2.2,2.2,Blood
Blood,B_M11,B_M14,Hematopoietic stem cells (Cd34+),Mast cells,Developmental progression,183.0,186.0,166,169,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,23828,0.0,0.023093093093093,0.1069999999999999,0.1395417156286721,0.0043420802706989,0.0658944631262665,0.007292,0.007292,0.1224,46.15,46.15,Blood
