system	meta_group	celltype_new	sh_w	id
Eye	Ey_M1	Amacrine cells	0.0142520734629868	91
Eye	Ey_M10	Naive retinal progenitor cells	0.132846308913054	92
Eye	Ey_M11	Optic stalk	0.100226464821779	93
Eye	Ey_M12	Photoreceptor precursor cells	0.0217245729676093	94
Eye	Ey_M13	PV-containing retinal ganglion cells	0.0137190350102971	95
Eye	Ey_M14	Retinal ganglion cells	0.0135238307880086	96
Eye	Ey_M15	Retinal pigment cells	0.063407190348893	97
Eye	Ey_M16	Retinal progenitor cells	0.0466714374407737	98
Eye	Ey_M17	Rod precursor cells	0.0202575444565965	99
Eye	Ey_M18	Suprachiasmatic nucleus	0.0847104315550385	100
Eye	Ey_M2	Amacrine/Horizontal precursor cells	0.018701741904885	101
Eye	Ey_M3	Bipolar precursor cells	0.0247726680986786	102
Eye	Ey_M4	Cholinergic amacrine cells	0.0264220040517375	103
Eye	Ey_M5	Ciliary margin cells	0.0452493486590038	104
Eye	Ey_M6	Cone precursor cells	0.0233325595790776	105
Eye	Ey_M7	Eye field	0.0837496419071004	106
Eye	Ey_M8	Horizontal cells	0.0214731379731379	107
Eye	Ey_M9	Iris pigment epithelium	0.0430335960960961	108
Gut	G_M1	Airway club cells	0.0303532531573719	109
Gut	G_M10	Intestinal enteroendocrine cells	0.016891583747927	110
Gut	G_M11	Intestinal goblet cells	0.0139682903533906	111
Gut	G_M12	Lung cells (Eln+)	0.0697115465126015	112
Gut	G_M13	Lung progenitor cells	0.100682995262407	113
Gut	G_M14	Midgut/Hindgut epithelial cells	0.0158948908160066	114
Gut	G_M15	Pancreatic acinar cells	0.0433914242505115	115
Gut	G_M16	Pancreatic islets	0.0317077349458301	116
Gut	G_M2	Airway goblet cells	0.0203981481481481	117
Gut	G_M3	Alveolar Type 1 cells	0.0414359875551831	118
Gut	G_M4	Alveolar Type 2 cells	0.0222638260608227	119
Gut	G_M5	Biliary epithelial cells	0.0346118127312157	120
Gut	G_M6	Extraembryonic visceral endoderm	NA	121
Gut	G_M7	Foregut epithelial cells	0.0292375594497111	122
Gut	G_M8	Gut	0.163179081651295	123
Gut	G_M9	Hepatocytes	0.0275054040084861	124
PNS_glia	PG_M1	Melanocyte cells	0.0176525964166413	125
PNS_glia	PG_M2	Myelinating Schwann cells	0.0264183669933436	126
PNS_glia	PG_M3	Myelinating Schwann cells (Tgfb2+)	0.046237185164468	127
PNS_glia	PG_M4	Neural crest (PNS glia)	0.0587415092995083	128
PNS_glia	PG_M5	Olfactory ensheathing cells	0.0345636066773639	129
PNS_glia	PG_M6	Satellite glial cells	0.0676274018379281	130
PNS_neurons	PN_M1	Corticofugal neurons	0.0113603689189724	131
PNS_neurons	PN_M2	Dorsal root ganglion neurons	0.0130459925399131	132
PNS_neurons	PN_M3	Enteric neurons	0.0291462293712137	133
PNS_neurons	PN_M4	Neural crest (PNS neurons)	0.0325816694353412	134
PNS_neurons	PN_M5	Olfactory sensory neurons	0.0168344453051467	135
PNS_neurons	PN_M6	Otic sensory neurons	0.0396210975126069	136
PNS_neurons	PN_M7	Parasympathetic neurons	0.0271897787887252	137
PNS_neurons	PN_M8	Sympathetic neurons	0.0351394983093496	138
Renal	R_M1	Anterior intermediate mesoderm	0.0340170787662503	139
Renal	R_M10	Posterior intermediate mesoderm	0.0642664255765199	140
Renal	R_M11	Proximal tubule cells	0.0183765264026402	141
Renal	R_M12	Renal pericytes and mesangial cells	0.114835511982571	142
Renal	R_M13	Ureteric bud	0.0371302341480088	143
Renal	R_M14	Ureteric bud stalk	0.0611612635078969	144
Renal	R_M2	Ascending loop of Henle	0.0182113748198896	145
Renal	R_M3	Collecting duct intercalated cells	0.0550468509984639	146
Renal	R_M4	Collecting duct principal cells	0.0303777777777777	147
Renal	R_M5	Connecting tubule	0.0158192224195776	148
Renal	R_M6	Distal convoluted tubule	0.011098938098938	149
Renal	R_M7	Metanephric mesenchyme	0.053189821865728	150
Renal	R_M8	Nephron progenitors	0.0366297830374753	151
Renal	R_M9	Podocytes	0.0463763749402199	152
Lateral_plate_mesoderm	L_M1	Adrenocortical cells	0.032671223388743	153
Lateral_plate_mesoderm	L_M10	Gastrointestinal smooth muscle cells	0.175433626696003	154
Lateral_plate_mesoderm	L_M11	Gonad progenitor cells	0.0340977961432506	155
Lateral_plate_mesoderm	L_M12	Granulosa cells	0.0308148148148148	156
Lateral_plate_mesoderm	L_M13	Gut mesenchyme	0.303656467669776	157
Lateral_plate_mesoderm	L_M14	Hepatic mesenchyme	0.140350006688226	158
Lateral_plate_mesoderm	L_M15	Leydig cells	0.0664512471655328	159
Lateral_plate_mesoderm	L_M16	Limb mesenchyme progenitors	0.0712391219804276	160
Lateral_plate_mesoderm	L_M17	Lung mesenchyme	0.275575162340582	161
Lateral_plate_mesoderm	L_M18	Meninges	0.0316048724383103	162
Lateral_plate_mesoderm	L_M19	Mesothelial cells	0.104133533746545	163
Lateral_plate_mesoderm	L_M2	Airway smooth muscle cells	0.061525063258704	164
Lateral_plate_mesoderm	L_M20	Proepicardium	0.025752480261492	165
Lateral_plate_mesoderm	L_M21	Renal stromal cells	0.12250925440894	166
Lateral_plate_mesoderm	L_M22	Second heart field	0.081937392014576	167
Lateral_plate_mesoderm	L_M23	Sertoli cells	0.0642867946480511	168
Lateral_plate_mesoderm	L_M24	Somatic mesoderm	0.0426248394582477	169
Lateral_plate_mesoderm	L_M25	Splanchnic mesoderm	0.150717741774099	170
Lateral_plate_mesoderm	L_M26	Vascular smooth muscle cells	0.0327537031671794	171
Lateral_plate_mesoderm	L_M27	Vascular smooth muscle cells (Pparg+)	0.0175213189588189	172
Lateral_plate_mesoderm	L_M28	Ventricular cardiomyocytes	0.0173494868362338	173
Lateral_plate_mesoderm	L_M3	Allantois	NA	174
Lateral_plate_mesoderm	L_M4	Amniotic mesoderm	NA	175
Lateral_plate_mesoderm	L_M5	Atrial cardiomyocytes	0.0183703991705546	176
Lateral_plate_mesoderm	L_M6	Cardiopharyngeal mesoderm	NA	177
Lateral_plate_mesoderm	L_M7	Extraembryonic mesoderm	0.0873044235518559	178
Lateral_plate_mesoderm	L_M8	First heart field	0.0400722239676056	179
Lateral_plate_mesoderm	L_M9	Foregut mesenchyme	0.248403028674831	180
Blood	B_M1	Activated T cells	0.0147628421352934	181
Blood	B_M10	Granulocytes	0.0074462299909156	182
Blood	B_M11	Hematopoietic stem cells (Cd34+)	0.0158012774098601	183
Blood	B_M12	Hematopoietic stem cells (Mpo+)	0.0095232810638379	184
Blood	B_M13	Kupffer cells	0.0050524317296918	185
Blood	B_M14	Mast cells	0.023093093093093	186
Blood	B_M15	Megakaryocyte-erythroid progenitors	0.0264352485858886	187
Blood	B_M16	Megakaryocytes	0.0108026813441308	188
Blood	B_M17	Microglia	0.0088159018001537	189
Blood	B_M18	Monocytes	0.0056960540901705	190
Blood	B_M19	Monocytic myeloid-derived suppressor cells	0.0033044384265434	191
Blood	B_M2	Adipose tissue macrophages	0.0058215857862635	192
Blood	B_M20	Natural killer cells	0.0126941723892078	193
Blood	B_M21	Osteoclasts	0.0126250041796234	194
Blood	B_M22	Plasmacytoid dendritic cells	0.0237710162478554	195
Blood	B_M23	PMN myeloid-derived suppressor cells	0.0018243834785246	196
Blood	B_M24	Primitive erythroid cells	NA	197
Blood	B_M25	Regulatory T cells	0.0239902040816326	198
Blood	B_M26	T cells	0.017122393899583	199
Blood	B_M27	T-NK progenitors	0.0138961365363259	200
Blood	B_M3	B cell progenitors	0.0293317889317889	201
Blood	B_M4	B cells	0.014974537628415	202
Blood	B_M5	Border-associated macrophages	0.007769830191284	203
Blood	B_M6	Border-associated macrophages (Ms4a8a+)	0.0039840934684684	204
Blood	B_M7	Conventional dendritic cells	0.0095962704301857	205
Blood	B_M8	Definitive early erythroblasts (CD36-)	0.0188329592727741	206
Blood	B_M9	Definitive erythroblasts (CD36+)	0.0039714439901251	207
Brain_spinal_cord	BS_M1	Anterior floor plate	0.17392096368855	208
Brain_spinal_cord	BS_M10	Cranial motor neurons	0.151365557824696	209
Brain_spinal_cord	BS_M11	Deep-layer neurons	0.0369367331357213	210
Brain_spinal_cord	BS_M12	Di/mesencephalon GABAergic neurons	0.103872811917649	211
Brain_spinal_cord	BS_M13	Di/mesencephalon glutamatergic neurons	0.0629731950242009	212
Brain_spinal_cord	BS_M14	Diencephalon	0.198702006920801	213
