system,x,y,x_name,y_name,edge_type,sh_x,sh_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change,sh_node_x,sh_node_y,frac>0_x,frac>0_y,n_x,n_y
Pre_gastrulation,PGa_M1,PGa_M2,Oocyte,1-cell,Developmental progression,0.00609434159508863,0.0244508267734806,0.018356485178392,0.018356485178392,NA,NA,NA,0.00609434159508863,0.00182557232433535,NA,NA,NA,NA
Pre_gastrulation,PGa_M2,PGa_M3,1-cell,2-cell,Developmental progression,-0.0207996821248099,-0.00309058964137604,0.0177090924834339,0.0177090924834339,NA,NA,NA,0.00182557232433535,0.00595921713737655,NA,NA,NA,NA
Pre_gastrulation,PGa_M3,PGa_M4,2-cell,4-cell,Developmental progression,0.0150090239161291,-0.00856655644326215,0.0235755803593913,-0.0235755803593913,NA,NA,NA,0.00595921713737655,0.00512236894228107,NA,NA,NA,NA
Pre_gastrulation,PGa_M4,PGa_M5,4-cell,8-cell,Developmental progression,0.0188112943278243,-0.00704267100976459,0.0258539653375889,-0.0258539653375889,NA,NA,NA,0.00512236894228107,-0.0230316873914207,NA,NA,NA,NA
Pre_gastrulation,PGa_M5,PGa_M6,8-cell,Morula,Developmental progression,-0.0390207037730767,0.010646183711067,0.0496668874841437,0.0496668874841437,NA,NA,NA,-0.0230316873914207,-0.00428019945427789,NA,NA,NA,NA
Pre_gastrulation,PGa_M6,PGa_M7,Morula,Inner cell mass,Developmental progression,-0.0260435901372464,0.00730888128728157,0.0333524714245279,0.0333524714245279,NA,NA,NA,-0.00428019945427789,0.0054410149940789,NA,NA,NA,NA
Pre_gastrulation,PGa_M6,PGa_M8,Morula,Trophectoderm,Developmental progression,0.00255680806334571,0.00825465223191977,0.00569784416857406,0.00569784416857406,NA,NA,NA,-0.00428019945427789,9.6490019252406e-4,NA,NA,NA,NA
Pre_gastrulation,PGa_M8,PGa_M9,Trophectoderm,Extraembryonic ectoderm,Developmental progression,-0.00632485184687164,0.00861642006015765,0.0149412719070293,0.0149412719070293,NA,NA,NA,9.6490019252406e-4,-0.00528061597821116,NA,NA,NA,NA
Pre_gastrulation,PGa_M7,PGa_M10,Inner cell mass,Hypoblast,Developmental progression,-3.3602315008577e-4,0.0428329520174092,0.043168975167495,0.043168975167495,NA,NA,NA,0.0054410149940789,0.0144533443210647,NA,NA,NA,NA
Pre_gastrulation,PGa_M10,PGa_M11,Hypoblast,Parietal endoderm,Developmental progression,-0.0170608785514716,-0.00812830032769231,0.00893257822377929,0.00893257822377929,NA,NA,NA,0.0144533443210647,-0.0108734456078856,NA,NA,NA,NA
Pre_gastrulation,PGa_M10,PGa_M12,Hypoblast,Visceral endoderm,Developmental progression,0.0175879594972566,-0.0102448545814307,0.0278328140786873,-0.0278328140786873,NA,NA,NA,0.0144533443210647,0.00221053269279085,NA,NA,NA,NA
