"system"	"x"	"y"	"x_name"	"y_name"	"edge_type"	"x_number"	"y_number"	"x_id"	"y_id"
"Gastrulation"	"Ga_M26"	"Ga_M9"	"Lateral plate mesoderm"	"Amniotic mesoderm"	"Developmental progression"	42	25	128	19
"Gastrulation"	"Ga_M26"	"Ga_M12"	"Lateral plate mesoderm"	"Cardiogenic mesoderm"	"Developmental progression"	42	28	128	44
"Gastrulation"	"Ga_M15"	"Ga_M24"	"Definitive ectoderm"	"Hindbrain"	"Developmental progression"	31	40	68	115
"Gastrulation"	"Ga_M7"	"Ga_M23"	"Allantois"	"Hematoendothelial progenitors"	"Developmental progression"	23	39	13	110
"Gastrulation"	"Ga_M28"	"Ga_M23"	"Nascent mesoderm"	"Hematoendothelial progenitors"	"Developmental progression"	44	39	164	110
"Gastrulation"	"Ga_M15"	"Ga_M34"	"Definitive ectoderm"	"Primordial germ cells"	"Developmental progression"	31	50	68	210
"Gastrulation"	"Ga_M15"	"Ga_M29"	"Definitive ectoderm"	"Neural crest"	"Developmental progression"	31	45	68	167
"Gastrulation"	"Ga_M6"	"Ga_M34"	"Primitive streak"	"Primordial germ cells"	"Developmental progression"	22	50	209	210
"Gastrulation"	"Ga_M26"	"Ga_M22"	"Lateral plate mesoderm"	"Gut mesenchyme"	"Developmental progression"	42	38	128	109
"Gastrulation"	"Ga_M10"	"Ga_M30"	"Anterior primitive streak"	"Notochord"	"Developmental progression"	26	46	22	174
"Gastrulation"	"Ga_M6"	"Ga_M10"	"Primitive streak"	"Anterior primitive streak"	"Developmental progression"	22	26	209	22
"Gastrulation"	"Ga_M28"	"Ga_M13"	"Nascent mesoderm"	"Cardiopharyngeal mesoderm"	"Developmental progression"	44	29	164	45
"Gastrulation"	"Ga_M28"	"Ga_M34"	"Nascent mesoderm"	"Primordial germ cells"	"Developmental progression"	44	50	164	210
"Gastrulation"	"Ga_M35"	"Ga_M19"	"Spinal cord"	"Floor plate"	"Developmental progression"	51	35	230	94
"Gastrulation"	"Ga_M14"	"Ga_M34"	"CLE and NMPs"	"Primordial germ cells"	"Developmental progression"	30	50	42	210
"Gastrulation"	"Ga_M28"	"Ga_M26"	"Nascent mesoderm"	"Lateral plate mesoderm"	"Developmental progression"	44	42	164	128
"Gastrulation"	"Ga_M28"	"Ga_M32"	"Nascent mesoderm"	"Paraxial mesoderm (Tbx6-)"	"Developmental progression"	44	48	164	193
"Gastrulation_E8.5b"	"Ga_M7"	"L_M3"	"Allantois"	"Allantois"	"Dataset equivalence"	23	174	13	13
"Gastrulation_E8.5b"	"Ga_M8"	"Ep_M1"	"Amniotic ectoderm"	"Amniotic ectoderm"	"Dataset equivalence"	24	65	18	18
"Gastrulation_E8.5b"	"Ga_M9"	"L_M4"	"Amniotic mesoderm"	"Amniotic mesoderm"	"Dataset equivalence"	25	175	19	19
"Gastrulation_E8.5b"	"Ga_M19"	"BS_M1"	"Floor plate"	"Anterior floor plate"	"Dataset equivalence"	35	208	94	20
"Gastrulation_E8.5b"	"Ga_M25"	"R_M1"	"Intermediate mesoderm"	"Anterior intermediate mesoderm"	"Dataset equivalence"	41	139	122	21
"Gastrulation_E8.5b"	"Ga_M24"	"BS_M2"	"Hindbrain"	"Anterior roof plate"	"Dataset equivalence"	40	219	115	23
"Gastrulation_E8.5b"	"Ga_M17"	"En_M1"	"Endothelium"	"Arterial endothelial cells"	"Dataset equivalence"	33	53	83	25
"Gastrulation_E8.5b"	"Ga_M13"	"L_M6"	"Cardiopharyngeal mesoderm"	"Cardiopharyngeal mesoderm"	"Dataset equivalence"	29	177	45	45
"Gastrulation_E8.5b"	"Ga_M32"	"M_M7"	"Paraxial mesoderm (Tbx6-)"	"Dermomyotome"	"Dataset equivalence"	48	279	193	73
"Gastrulation_E8.5b"	"Ga_M20"	"BS_M14"	"Forebrain"	"Diencephalon"	"Dataset equivalence"	36	213	96	76
"Gastrulation_E8.5b"	"Ga_M17"	"En_M5"	"Endothelium"	"Endothelium"	"Dataset equivalence"	33	60	83	83
"Gastrulation_E8.5b"	"Ga_M23"	"En_M5"	"Hematoendothelial progenitors"	"Endothelium"	"Dataset equivalence"	39	60	110	83
"Gastrulation_E8.5b"	"Ga_M18"	"L_M7"	"Extraembryonic mesoderm"	"Extraembryonic mesoderm"	"Dataset equivalence"	34	178	88	88
"Gastrulation_E8.5b"	"Ga_M3"	"G_M6"	"Extraembryonic visceral endoderm"	"Extraembryonic visceral endoderm"	"Dataset equivalence"	19	121	89	89
"Gastrulation_E8.5b"	"Ga_M20"	"Ey_M7"	"Forebrain"	"Eye field"	"Dataset equivalence"	36	106	96	90
"Gastrulation_E8.5b"	"Ga_M32"	"M_M9"	"Paraxial mesoderm (Tbx6-)"	"Facial mesenchyme"	"Dataset equivalence"	48	281	193	91
"Gastrulation_E8.5b"	"Ga_M29"	"M_M9"	"Neural crest"	"Facial mesenchyme"	"Dataset equivalence"	45	281	167	91
"Gastrulation_E8.5b"	"Ga_M12"	"L_M8"	"Cardiogenic mesoderm"	"First heart field"	"Dataset equivalence"	28	179	44	93
"Gastrulation_E8.5b"	"Ga_M26"	"L_M8"	"Lateral plate mesoderm"	"First heart field"	"Dataset equivalence"	42	179	128	93
"Gastrulation_E8.5b"	"Ga_M21"	"G_M8"	"Gut"	"Gut"	"Dataset equivalence"	37	123	108	108
"Gastrulation_E8.5b"	"Ga_M22"	"L_M13"	"Gut mesenchyme"	"Gut mesenchyme"	"Dataset equivalence"	38	157	109	109
"Gastrulation_E8.5b"	"Ga_M23"	"En_M7"	"Hematoendothelial progenitors"	"Hematoendothelial progenitors"	"Dataset equivalence"	39	62	110	110
"Gastrulation_E8.5b"	"Ga_M17"	"En_M7"	"Endothelium"	"Hematoendothelial progenitors"	"Dataset equivalence"	33	62	83	110
"Gastrulation_E8.5b"	"Ga_M24"	"BS_M20"	"Hindbrain"	"Hindbrain"	"Dataset equivalence"	40	220	115	115
"Gastrulation_E8.5b"	"Ga_M20"	"BS_M22"	"Forebrain"	"Hypothalamus"	"Dataset equivalence"	36	222	96	119
"Gastrulation_E8.5b"	"Ga_M27"	"BS_M25"	"Midbrain"	"Midbrain"	"Dataset equivalence"	43	225	147	147
"Gastrulation_E8.5b"	"Ga_M31"	"M_M11"	"Paraxial mesoderm (Tbx6+)"	"Mesodermal progenitors (Tbx6+)"	"Dataset equivalence"	47	266	192	142
"Gastrulation_E8.5b"	"Ga_M27"	"BS_M27"	"Midbrain"	"Midbrain-hindbrain boundary"	"Dataset equivalence"	43	227	147	149
"Gastrulation_E8.5b"	"Ga_M29"	"PG_M4"	"Neural crest"	"Neural crest (PNS glia)"	"Dataset equivalence"	45	128	167	168
"Gastrulation_E8.5b"	"Ga_M14"	"BS_M31"	"CLE and NMPs"	"NMPs and spinal cord progenitors"	"Dataset equivalence"	30	232	42	162
"Gastrulation_E8.5b"	"Ga_M30"	"No_M1"	"Notochord"	"Notochord"	"Dataset equivalence"	46	282	174	174
"Gastrulation_E8.5b"	"Ga_M36"	"Ep_M14"	"Surface ectoderm"	"Olfactory epithelial cells"	"Dataset equivalence"	52	70	245	177
"Gastrulation_E8.5b"	"Ga_M36"	"Ep_M16"	"Surface ectoderm"	"Otic epithelial cells"	"Dataset equivalence"	52	72	245	184
"Gastrulation_E8.5b"	"Ga_M36"	"Ep_M21"	"Surface ectoderm"	"Placodal area"	"Dataset equivalence"	52	78	245	200
"Gastrulation_E8.5b"	"Ga_M19"	"BS_M34"	"Floor plate"	"Floorplate and p3 domain"	"Dataset equivalence"	35	235	94	95
"Gastrulation_E8.5b"	"Ga_M35"	"BS_M35"	"Spinal cord"	"Posterior roof plate"	"Dataset equivalence"	51	236	230	204
