"system","x","y","x_name","y_name","edge_type","x_number.x","y_number.x","x_id.x","y_id.x","x_number.y","y_number.y","x_id.y","y_id.y","n_x","median_x","sh_x","q90_x","frac>0_x","variance_x","std_x","n_y","median_y","sh_y","q90_y","frac>0_y","variance_y","std_y","abs_delta","delta","cohens_d","pct_change","abs_pct_change","system_name"
"Pre_gastrulation","PGa_M11","Ga_M2","Parietal endoderm","Parietal endoderm","Dataset equivalence",11,18,194,194,NA,NA,"","",NA,NA,-0.0136185908880788,NA,NA,NA,NA,NA,NA,0.0046432264613344,NA,NA,NA,NA,0.0182618173494132,0.0182618173494132,NA,NA,NA,""
"Gastrulation","Ga_M10","Ga_M16","Anterior primitive streak","Definitive endoderm","Developmental progression",26,32,22,69,893,354,"Ga_M10","Ga_M16",893,0,0.0011593878312803,0,0.0145576707726763,0.0001357495905676,0.0116511626272934,354,0,0.0002605147520401,0,0.0112994350282485,8.46339855217219e-06,0.0029091920789408,0.0008988730792401,-0.0008988730792401,-0.1059,-77.5299735764446,77.5299735764446,"Gastrulation"
"Gastrulation","Ga_M11","Ga_M33","Blood progenitors","Primitive erythroid cells","Developmental progression",27,49,35,208,2978,6732,"Ga_M11","Ga_M33",2978,0,0.0004122453548242,0,0.0073875083948959,3.89009770780549e-05,0.0062370647806524,6732,0,0.0004304977883409,0,0.0092097445038621,3.11595271109356e-05,0.0055820719370978,1.82524335166588e-05,1.82524335166588e-05,0.0031,4.42756559972387,4.42756559972387,"Gastrulation"
"Gastrulation","Ga_M5","Ga_M6","Epiblast","Primitive streak","Developmental progression",21,22,86,209,11315,7573,"Ga_M5","Ga_M6",11315,0,0.0005461285412677,0,0.0088378258948298,5.68913904881274e-05,0.0075426381650008,7573,0,0.0005834176973751,0,0.0079228839297504,6.9651354907512e-05,0.0083457387274891,3.72891561074408e-05,3.72891561074408e-05,0.0047,6.82790832005976,6.82790832005976,"Gastrulation"
"Gastrulation","Ga_M31","Ga_M25","Paraxial mesoderm (Tbx6+)","Intermediate mesoderm","Developmental progression",47,41,192,122,6185,1064,"Ga_M31","Ga_M25",6185,0,0.0069135722626425,0,0.0780921584478577,0.0008626574927838,0.0293710315240007,1064,0,0.0089153091060985,0.0025444444444444,0.101503759398496,0.0010831281005442,0.0329109115726728,0.0020017368434559,0.0020017368434559,0.0642,28.9537270662859,28.9537270662859,"Gastrulation"
"Gastrulation","Ga_M4","Ga_M21","Embryonic visceral endoderm","Gut","Developmental progression",20,37,81,108,1260,1896,"Ga_M4","Ga_M21",1260,0,0.0010089065255731,0,0.0087301587301587,0.000196070180174,0.0140025062104624,1896,0,0.0180522737927801,0.076,0.147679324894515,0.0026614150060001,0.0515889039038448,0.0170433672672069,0.0170433672672069,0.4509,1689.29101311185,1689.29101311185,"Gastrulation"
"Gastrulation","Ga_M15","Ga_M36","Definitive ectoderm","Surface ectoderm","Developmental progression",31,52,68,245,6516,2795,"Ga_M15","Ga_M36",6516,0,0.0031198247049996,0,0.0334561080417434,0.0004280646843962,0.0206897241256687,2795,0,0.0026115682766845,0,0.0314847942754919,0.0003417553695426,0.0184866267756636,0.0005082564283151,-0.0005082564283151,-0.0259,-16.2911854470733,16.2911854470733,"Gastrulation"
"Gastrulation","Ga_M18","Ga_M7","Extraembryonic mesoderm","Allantois","Developmental progression",34,23,88,13,3194,2804,"Ga_M18","Ga_M7",3194,0,0.0240241077019411,0.112344444444444,0.210081402629931,0.0032573043062573,0.0570727983040727,2804,0,0.0045471152322079,0,0.0542082738944365,0.0005838386244891,0.0241627528334251,0.0194769924697331,-0.0194769924697331,-0.4444,-81.0726987714905,81.0726987714905,"Gastrulation"
"Gastrulation","Ga_M13","Ga_M32","Cardiopharyngeal mesoderm","Paraxial mesoderm (Tbx6-)","Developmental progression",29,48,45,193,2214,3107,"Ga_M13","Ga_M32",2214,0,0.0099859480076282,0.0101999999999999,0.105691056910569,0.0012668771545747,0.0355932178170884,3107,0,0.0165324893609412,0.0620444444444445,0.144190537495977,0.0024506276704615,0.0495038147061572,0.006546541353313,0.006546541353313,0.1518,65.5575349312068,65.5575349312068,"Gastrulation"
"Gastrulation","Ga_M5","Ga_M15","Epiblast","Definitive ectoderm","Developmental progression",21,31,86,68,11315,6516,"Ga_M5","Ga_M15",11315,0,0.0005461285412677,0,0.0088378258948298,5.68913904881274e-05,0.0075426381650008,6516,0,0.0031198247049996,0,0.0334561080417434,0.0004280646843962,0.0206897241256687,0.0025736961637319,0.0025736961637319,0.1653,471.261977584537,471.261977584537,"Gastrulation"
"Gastrulation","Ga_M14","Ga_M31","CLE and NMPs","Paraxial mesoderm (Tbx6+)","Developmental progression",30,47,42,192,4992,6185,"Ga_M14","Ga_M31",4992,0,0.006091635505698,0,0.0586939102564102,0.0009089940649455,0.0301495284365371,6185,0,0.0069135722626425,0,0.0780921584478577,0.0008626574927838,0.0293710315240007,0.0008219367569445,0.0008219367569445,0.0276,13.4928748802479,13.4928748802479,"Gastrulation"
"Gastrulation","Ga_M15","Ga_M35","Definitive ectoderm","Spinal cord","Developmental progression",31,51,68,230,6516,2150,"Ga_M15","Ga_M35",6516,0,0.0031198247049996,0,0.0334561080417434,0.0004280646843962,0.0206897241256687,2150,0,0.015675142118863,0.0439666666666667,0.129302325581395,0.0024370790749084,0.0493667810871684,0.0125553174138633,0.0125553174138633,0.3317,402.436630293456,402.436630293456,"Gastrulation"
"Gastrulation","Ga_M28","Ga_M31","Nascent mesoderm","Paraxial mesoderm (Tbx6+)","Developmental progression",44,47,164,192,5501,6185,"Ga_M28","Ga_M31",5501,0,0.0032225857924821,0,0.0461734230139974,0.0003400304824716,0.0184399154681253,6185,0,0.0069135722626425,0,0.0780921584478577,0.0008626574927838,0.0293710315240007,0.0036909864701604,0.0036909864701604,0.1505,114.534932747825,114.534932747825,"Gastrulation"
"Gastrulation","Ga_M15","Ga_M27","Definitive ectoderm","Midbrain","Developmental progression",31,43,68,147,6516,1228,"Ga_M15","Ga_M27",6516,0,0.0031198247049996,0,0.0334561080417434,0.0004280646843962,0.0206897241256687,1228,0,0.0038412956930872,0,0.0456026058631921,0.0005452337297011,0.0233502404634551,0.0007214709880875,0.0007214709880875,0.0327,23.1253694135884,23.1253694135884,"Gastrulation"
"Gastrulation","Ga_M14","Ga_M35","CLE and NMPs","Spinal cord","Developmental progression",30,51,42,230,4992,2150,"Ga_M14","Ga_M35",4992,0,0.006091635505698,0,0.0586939102564102,0.0009089940649455,0.0301495284365371,2150,0,0.015675142118863,0.0439666666666667,0.129302325581395,0.0024370790749084,0.0493667810871684,0.009583506613165,0.009583506613165,0.2343,157.322390747129,157.322390747129,"Gastrulation"
"Gastrulation","Ga_M26","Ga_M25","Lateral plate mesoderm","Intermediate mesoderm","Developmental progression",42,41,128,122,2580,1064,"Ga_M26","Ga_M25",2580,0,0.0180307924203273,0.0815666666666667,0.163178294573643,0.0023549534313269,0.048527862422808,1064,0,0.0089153091060985,0.0025444444444444,0.101503759398496,0.0010831281005442,0.0329109115726728,0.0091154833142287,-0.0091154833142287,-0.2199,-50.5550898803107,50.5550898803107,"Gastrulation"
"Gastrulation","Ga_M15","Ga_M20","Definitive ectoderm","Forebrain","Developmental progression",31,36,68,96,6516,1429,"Ga_M15","Ga_M20",6516,0,0.0031198247049996,0,0.0334561080417434,0.0004280646843962,0.0206897241256687,1429,0,0.0092119586346318,0,0.0755773268019594,0.0015672469464921,0.0395884698680333,0.0060921339296321,0.0060921339296321,0.1929,195.271674074164,195.271674074164,"Gastrulation"
"Gastrulation","Ga_M6","Ga_M28","Primitive streak","Nascent mesoderm","Developmental progression",22,44,209,164,7573,5501,"Ga_M6","Ga_M28",7573,0,0.0005834176973751,0,0.0079228839297504,6.9651354907512e-05,0.0083457387274891,5501,0,0.0032225857924821,0,0.0461734230139974,0.0003400304824716,0.0184399154681253,0.0026391680951069,0.0026391680951069,0.1844,452.363393668161,452.363393668161,"Gastrulation"
