"system","x","y","x_name","y_name","edge_type","sh_x","sh_y","abs_delta","delta","cohens_d","pct_change","abs_pct_change","sh_node_x","sh_node_y"
"Gastrulation","Ga_M5","Ga_M6","Epiblast","Primitive streak","Developmental progression",0.0005461285412677,0.0005834176973751,3.72891561074408e-05,3.72891561074408e-05,0.0047,6.82790832005976,6.82790832005976,0.0005461285412677,0.0005834176973751
"Gastrulation","Ga_M31","Ga_M25","Paraxial mesoderm (Tbx6+)","Intermediate mesoderm","Developmental progression",0.0069135722626425,0.0089153091060985,0.0020017368434559,0.0020017368434559,0.0642,28.9537270662859,28.9537270662859,0.0069135722626425,0.0089153091060985
"Gastrulation","Ga_M4","Ga_M21","Embryonic visceral endoderm","Gut","Developmental progression",0.0010089065255731,0.0180522737927801,0.0170433672672069,0.0170433672672069,0.4509,1689.29101311185,1689.29101311185,0.0010089065255731,0.0180522737927801
"Gastrulation","Ga_M15","Ga_M36","Definitive ectoderm","Surface ectoderm","Developmental progression",0.0031198247049996,0.0026115682766845,0.0005082564283151,-0.0005082564283151,-0.0259,-16.2911854470733,16.2911854470733,0.0031198247049996,0.0026115682766845
"Gastrulation","Ga_M18","Ga_M7","Extraembryonic mesoderm","Allantois","Developmental progression",0.0240241077019411,0.0045471152322079,0.0194769924697331,-0.0194769924697331,-0.4444,-81.0726987714905,81.0726987714905,0.0240241077019411,0.0045471152322079
"Gastrulation","Ga_M13","Ga_M32","Cardiopharyngeal mesoderm","Paraxial mesoderm (Tbx6-)","Developmental progression",0.0099859480076282,0.0165324893609412,0.006546541353313,0.006546541353313,0.1518,65.5575349312068,65.5575349312068,0.0099859480076282,0.0165324893609412
"Gastrulation","Ga_M5","Ga_M15","Epiblast","Definitive ectoderm","Developmental progression",0.0005461285412677,0.0031198247049996,0.0025736961637319,0.0025736961637319,0.1653,471.261977584537,471.261977584537,0.0005461285412677,0.0031198247049996
"Gastrulation","Ga_M14","Ga_M31","CLE and NMPs","Paraxial mesoderm (Tbx6+)","Developmental progression",0.006091635505698,0.0069135722626425,0.0008219367569445,0.0008219367569445,0.0276,13.4928748802479,13.4928748802479,0.006091635505698,0.0069135722626425
"Gastrulation","Ga_M15","Ga_M35","Definitive ectoderm","Spinal cord","Developmental progression",0.0031198247049996,0.015675142118863,0.0125553174138633,0.0125553174138633,0.3317,402.436630293456,402.436630293456,0.0031198247049996,0.015675142118863
"Gastrulation","Ga_M28","Ga_M31","Nascent mesoderm","Paraxial mesoderm (Tbx6+)","Developmental progression",0.0032225857924821,0.0069135722626425,0.0036909864701604,0.0036909864701604,0.1505,114.534932747825,114.534932747825,0.0032225857924821,0.0069135722626425
"Gastrulation","Ga_M15","Ga_M27","Definitive ectoderm","Midbrain","Developmental progression",0.0031198247049996,0.0038412956930872,0.0007214709880875,0.0007214709880875,0.0327,23.1253694135884,23.1253694135884,0.0031198247049996,0.0038412956930872
"Gastrulation","Ga_M14","Ga_M35","CLE and NMPs","Spinal cord","Developmental progression",0.006091635505698,0.015675142118863,0.009583506613165,0.009583506613165,0.2343,157.322390747129,157.322390747129,0.006091635505698,0.015675142118863
"Gastrulation","Ga_M26","Ga_M25","Lateral plate mesoderm","Intermediate mesoderm","Developmental progression",0.0180307924203273,0.0089153091060985,0.0091154833142287,-0.0091154833142287,-0.2199,-50.5550898803107,50.5550898803107,0.0180307924203273,0.0089153091060985
"Gastrulation","Ga_M15","Ga_M20","Definitive ectoderm","Forebrain","Developmental progression",0.0031198247049996,0.0092119586346318,0.0060921339296321,0.0060921339296321,0.1929,195.271674074164,195.271674074164,0.0031198247049996,0.0092119586346318
"Gastrulation","Ga_M6","Ga_M28","Primitive streak","Nascent mesoderm","Developmental progression",0.0005834176973751,0.0032225857924821,0.0026391680951069,0.0026391680951069,0.1844,452.363393668161,452.363393668161,0.0005834176973751,0.0032225857924821
"Gastrulation","Ga_M23","Ga_M11","Hematoendothelial progenitors","Blood progenitors","Developmental progression",0.0010999914464117,0.0004122453548242,0.0006877460915875,-0.0006877460915875,-0.0723,-62.5228581395762,62.5228581395762,0.0010999914464117,0.0004122453548242
"Gastrulation","Ga_M36","Ga_M8","Surface ectoderm","Amniotic ectoderm","Developmental progression",0.0026115682766845,0.0015600084817642,0.0010515597949203,-0.0010515597949203,-0.0695,-40.2654529199339,40.2654529199339,0.0026115682766845,0.0015600084817642
"Gastrulation","Ga_M28","Ga_M18","Nascent mesoderm","Extraembryonic mesoderm","Developmental progression",0.0032225857924821,0.0240241077019411,0.0208015219094589,0.0208015219094589,0.4905,645.491640842763,645.491640842763,0.0032225857924821,0.0240241077019411
"Gastrulation","Ga_M16","Ga_M21","Definitive endoderm","Gut","Developmental progression",0.0002605147520401,0.0180522737927801,0.0177917590407399,0.0177917590407399,0.487,6829.46316913222,6829.46316913222,0.0002605147520401,0.0180522737927801
