system	meta_group	celltype_new	celltype_num
PNS_neurons	PN_M2	Dorsal root ganglion neurons	13077
PNS_neurons	PN_M3	Enteric neurons	4787
PNS_neurons	PN_M4	Neural crest (PNS neurons)	51569
PNS_neurons	PN_M5	Olfactory sensory neurons	40019
PNS_neurons	PN_M6	Otic sensory neurons	7844
PNS_neurons	PN_M7	Parasympathetic neurons	8353
PNS_neurons	PN_M8	Sympathetic neurons	18369
Renal	R_M1	Anterior intermediate mesoderm	7846
Renal	R_M10	Posterior intermediate mesoderm	10600
Renal	R_M11	Proximal tubule cells	16160
Renal	R_M12	Renal pericytes and mesangial cells	7956
Renal	R_M13	Ureteric bud	5851
Renal	R_M14	Ureteric bud stalk	401
Renal	R_M2	Ascending loop of Henle	4087
Renal	R_M3	Collecting duct intercalated cells	434
Renal	R_M4	Collecting duct principal cells	1895
Renal	R_M5	Connecting tubule	563
Renal	R_M6	Distal convoluted tubule	1287
Renal	R_M7	Metanephric mesenchyme	29547
Renal	R_M8	Nephron progenitors	20280
Renal	R_M9	Podocytes	4879
Lateral_plate_mesoderm	L_M1	Adrenocortical cells	3048
Lateral_plate_mesoderm	L_M10	Gastrointestinal smooth muscle cells	12120
Lateral_plate_mesoderm	L_M11	Gonad progenitor cells	4598
Lateral_plate_mesoderm	L_M12	Granulosa cells	108
Lateral_plate_mesoderm	L_M13	Gut mesenchyme	61542
Lateral_plate_mesoderm	L_M14	Hepatic mesenchyme	28242
Lateral_plate_mesoderm	L_M15	Leydig cells	294
Lateral_plate_mesoderm	L_M16	Limb mesenchyme progenitors	223422
Lateral_plate_mesoderm	L_M17	Lung mesenchyme	74124
Lateral_plate_mesoderm	L_M18	Meninges	6376
Lateral_plate_mesoderm	L_M19	Mesothelial cells	59211
Lateral_plate_mesoderm	L_M2	Airway smooth muscle cells	6938
Lateral_plate_mesoderm	L_M20	Proepicardium	9654
Lateral_plate_mesoderm	L_M21	Renal stromal cells	22908
Lateral_plate_mesoderm	L_M22	Second heart field	3537
Lateral_plate_mesoderm	L_M23	Sertoli cells	1719
Lateral_plate_mesoderm	L_M24	Somatic mesoderm	126741
Lateral_plate_mesoderm	L_M25	Splanchnic mesoderm	127703
Lateral_plate_mesoderm	L_M26	Vascular smooth muscle cells	24161
Lateral_plate_mesoderm	L_M27	Vascular smooth muscle cells (Pparg+)	11440
Lateral_plate_mesoderm	L_M28	Ventricular cardiomyocytes	3735
Lateral_plate_mesoderm	L_M5	Atrial cardiomyocytes	1286
Lateral_plate_mesoderm	L_M7	Extraembryonic mesoderm	57543
Lateral_plate_mesoderm	L_M8	First heart field	28647
Lateral_plate_mesoderm	L_M9	Foregut mesenchyme	17991
Blood	B_M1	Activated T cells	6621
Blood	B_M10	Granulocytes	3547
Blood	B_M11	Hematopoietic stem cells (Cd34+)	37750
Blood	B_M12	Hematopoietic stem cells (Mpo+)	23128
Blood	B_M13	Kupffer cells	33417
Blood	B_M14	Mast cells	23828
Blood	B_M15	Megakaryocyte-erythroid progenitors	13436
Blood	B_M16	Megakaryocytes	14777
Blood	B_M17	Microglia	8382
Blood	B_M18	Monocytes	29268
Blood	B_M19	Monocytic myeloid-derived suppressor cells	24741
Blood	B_M2	Adipose tissue macrophages	4190
Blood	B_M20	Natural killer cells	2961
Blood	B_M21	Osteoclasts	3323
Blood	B_M22	Plasmacytoid dendritic cells	1101
Blood	B_M23	PMN myeloid-derived suppressor cells	15382
Blood	B_M25	Regulatory T cells	9800
Blood	B_M26	T cells	70028
Blood	B_M27	T-NK progenitors	1901
Blood	B_M3	B cell progenitors	1295
Blood	B_M4	B cells	43057
Blood	B_M5	Border-associated macrophages	65191
Blood	B_M6	Border-associated macrophages (Ms4a8a+)	4736
Blood	B_M7	Conventional dendritic cells	4582
Blood	B_M8	Definitive early erythroblasts (CD36-)	929291
Blood	B_M9	Definitive erythroblasts (CD36+)	92446
Brain_spinal_cord	BS_M1	Anterior floor plate	16274
Brain_spinal_cord	BS_M10	Cranial motor neurons	23754
Brain_spinal_cord	BS_M11	Deep-layer neurons	236402
Brain_spinal_cord	BS_M12	Di/mesencephalon GABAergic neurons	15589
Brain_spinal_cord	BS_M13	Di/mesencephalon glutamatergic neurons	30999
Brain_spinal_cord	BS_M14	Diencephalon	78021
Brain_spinal_cord	BS_M15	Dorsal telencephalon	30144
Brain_spinal_cord	BS_M16	Ependymal cells	5895
Brain_spinal_cord	BS_M17	GABAergic cortical interneurons	603448
Brain_spinal_cord	BS_M18	GABAergic neurons (after E13.0)	292004
Brain_spinal_cord	BS_M19	Glutamatergic neurons (after E13.0)	570526
Brain_spinal_cord	BS_M2	Anterior roof plate	16098
Brain_spinal_cord	BS_M20	Hindbrain	197367
Brain_spinal_cord	BS_M21	Hypothalamic Sim1 neurons	19592
Brain_spinal_cord	BS_M22	Hypothalamus	53378
Brain_spinal_cord	BS_M23	Hypothalamus (Sim1+)	14611
Brain_spinal_cord	BS_M24	Intermediate neuronal progenitors	42068
Brain_spinal_cord	BS_M25	Midbrain	145124
Brain_spinal_cord	BS_M26	Midbrain dopaminergic neurons	5495
Brain_spinal_cord	BS_M27	Midbrain-hindbrain boundary	66071
Brain_spinal_cord	BS_M28	Multiciliated ependymal cells	10452
Brain_spinal_cord	BS_M29	Neural progenitor cells (Neurod1+)	23270
Brain_spinal_cord	BS_M3	Astrocytes	109750
Brain_spinal_cord	BS_M30	Neural progenitor cells (Ror1+)	33240
Brain_spinal_cord	BS_M31	NMPs and spinal cord progenitors	53734
Brain_spinal_cord	BS_M32	Neurons (Slc17a8+)	1957
Brain_spinal_cord	BS_M33	Oligodendrocyte progenitor cells	29522
Brain_spinal_cord	BS_M34	Floorplate and p3 domain	44992
Brain_spinal_cord	BS_M35	Posterior roof plate	11623
Brain_spinal_cord	BS_M36	Precerebellar neurons	1286
Brain_spinal_cord	BS_M38	Spinal cord motor neurons	31680
Brain_spinal_cord	BS_M4	Cajal-Retzius cells	81803
Brain_spinal_cord	BS_M40	Spinal cord/r7/r8	395636
Brain_spinal_cord	BS_M41	Spinal dI1 interneurons	35714
Brain_spinal_cord	BS_M42	Spinal dI2 interneurons	21843
Brain_spinal_cord	BS_M43	Spinal dI3 interneurons	5430
Brain_spinal_cord	BS_M44	Spinal dI4 interneurons	38632
Brain_spinal_cord	BS_M45	Spinal dI5 interneurons	39157
Brain_spinal_cord	BS_M46	Spinal dI6 interneurons	10964
Brain_spinal_cord	BS_M47	Spinal V0 interneurons	9397
Brain_spinal_cord	BS_M48	Spinal V1 interneurons	31325
Brain_spinal_cord	BS_M49	Spinal V2a interneurons	11065
Brain_spinal_cord	BS_M5	Cerebellar Purkinje cells	26737
Brain_spinal_cord	BS_M50	Spinal V2b interneurons	8575
Brain_spinal_cord	BS_M51	Spinal V3 interneurons	4440
Brain_spinal_cord	BS_M52	Striatal projection neurons	6235
Brain_spinal_cord	BS_M53	Subplate neurons	103397
Brain_spinal_cord	BS_M54	Telencephalon	430409
Brain_spinal_cord	BS_M55	Thalamic neuronal precursors	81788
Brain_spinal_cord	BS_M56	Upper-layer neurons	238829
Brain_spinal_cord	BS_M6	Cerebellum-related cells	9252
Brain_spinal_cord	BS_M7	Choroid plexus	9441
Brain_spinal_cord	BS_M8	Committed oligodendrocyte precursors	1865
Brain_spinal_cord	BS_M9	Cortical Interneurons (Prox1+)	7555
Mesoderm	M_M1	Adipocyte cells (Cyp2e1+)	14376
Mesoderm	M_M10	Fibroblasts	648059
Mesoderm	M_M11	Mesodermal progenitors (Tbx6+)	50325
Mesoderm	M_M12	Muscle progenitor cells	27017
Mesoderm	M_M13	Muscle progenitor cells (Prdm1+)	5017
Mesoderm	M_M14	Myoblasts	185751
Mesoderm	M_M15	Myofibroblasts	43951
Mesoderm	M_M16	Myotubes	43267
Mesoderm	M_M17	Pre-osteoblasts (Sp7+)	135893
Mesoderm	M_M18	Sclerotome	476671
Mesoderm	M_M2	Adipocyte progenitor cells	19823
Mesoderm	M_M3	Brown adipocyte cells	80279
Mesoderm	M_M4	Chondrocytes (Atp1a2+)	118412
Mesoderm	M_M5	Chondrocytes (Otor+)	12063
Mesoderm	M_M6	Dermatome	198888
Mesoderm	M_M7	Dermomyotome	131048
Mesoderm	M_M8	Early chondrocytes	144311
Mesoderm	M_M9	Facial mesenchyme	382752
Notochord	No_M1	Notochord	3752
Notochord	No_M2	Ciliated nodal cells	60
