system	x	y	x_name	y_name	edge_type	abs_delta	delta	sh_x	sh_y	x_id	y_id
Gastrulation	Ga_M26	Ga_M25	Lateral plate mesoderm	Intermediate mesoderm	Developmental progression	0.0091154833142287	-0.0091154833142287	0.0180307924203273	0.0089153091060985	42	41
Gastrulation	Ga_M15	Ga_M20	Definitive ectoderm	Forebrain	Developmental progression	0.0060921339296321	0.0060921339296321	0.0031198247049996	0.0092119586346318	31	36
Gastrulation	Ga_M6	Ga_M28	Primitive streak	Nascent mesoderm	Developmental progression	0.0026391680951069	0.0026391680951069	0.0005834176973751	0.0032225857924821	22	44
Gastrulation	Ga_M23	Ga_M11	Hematoendothelial progenitors	Blood progenitors	Developmental progression	0.0006877460915875	-0.0006877460915875	0.0010999914464117	0.0004122453548242	39	27
Gastrulation	Ga_M36	Ga_M8	Surface ectoderm	Amniotic ectoderm	Developmental progression	0.0010515597949203	-0.0010515597949203	0.0026115682766845	0.0015600084817642	52	24
Gastrulation	Ga_M28	Ga_M18	Nascent mesoderm	Extraembryonic mesoderm	Developmental progression	0.0208015219094589	0.0208015219094589	0.0032225857924821	0.0240241077019411	44	34
Gastrulation	Ga_M16	Ga_M21	Definitive endoderm	Gut	Developmental progression	0.0177917590407399	0.0177917590407399	0.0002605147520401	0.0180522737927801	32	37
Gastrulation	Ga_M18	Ga_M22	Extraembryonic mesoderm	Gut mesenchyme	Developmental progression	0.0503497055479284	0.0503497055479284	0.0240241077019411	0.0743738132498696	34	38
Gastrulation	Ga_M23	Ga_M17	Hematoendothelial progenitors	Endothelium	Developmental progression	0.0003554791133047	-0.0003554791133047	0.0010999914464117	0.000744512333107	39	33
Gastrulation	Ga_M18	Ga_M9	Extraembryonic mesoderm	Amniotic mesoderm	Developmental progression	0.0156367620229287	-0.0156367620229287	0.0240241077019411	0.0083873456790123	34	25
Gastrulation	Ga_M36	Ga_M14	Surface ectoderm	CLE and NMPs	Developmental progression	0.0034800672290134	0.0034800672290134	0.0026115682766845	0.006091635505698	52	30
Gastrulation	Ga_M26	Ga_M9	Lateral plate mesoderm	Amniotic mesoderm	Developmental progression	0.0096434467413149	-0.0096434467413149	0.0180307924203273	0.0083873456790123	42	25
Gastrulation	Ga_M26	Ga_M12	Lateral plate mesoderm	Cardiogenic mesoderm	Developmental progression	0.0149212016436897	-0.0149212016436897	0.0180307924203273	0.0031095907766375	42	28
Gastrulation	Ga_M15	Ga_M24	Definitive ectoderm	Hindbrain	Developmental progression	0.0071845680598582	0.0071845680598582	0.0031198247049996	0.0103043927648578	31	40
Gastrulation	Ga_M7	Ga_M23	Allantois	Hematoendothelial progenitors	Developmental progression	0.0034471237857961	-0.0034471237857961	0.0045471152322079	0.0010999914464117	23	39
Gastrulation	Ga_M28	Ga_M23	Nascent mesoderm	Hematoendothelial progenitors	Developmental progression	0.0021225943460704	-0.0021225943460704	0.0032225857924821	0.0010999914464117	44	39
Gastrulation	Ga_M15	Ga_M34	Definitive ectoderm	Primordial germ cells	Developmental progression	0.0010908773365786	-0.0010908773365786	0.0031198247049996	0.002028947368421	31	50
Gastrulation	Ga_M15	Ga_M29	Definitive ectoderm	Neural crest	Developmental progression	0.0028428945154481	-0.0028428945154481	0.0031198247049996	0.0002769301895515	31	45
Gastrulation	Ga_M6	Ga_M34	Primitive streak	Primordial germ cells	Developmental progression	0.0014455296710458	0.0014455296710458	0.0005834176973751	0.002028947368421	22	50
Gastrulation	Ga_M26	Ga_M22	Lateral plate mesoderm	Gut mesenchyme	Developmental progression	0.0563430208295422	0.0563430208295422	0.0180307924203273	0.0743738132498696	42	38
Gastrulation	Ga_M10	Ga_M30	Anterior primitive streak	Notochord	Developmental progression	0.0303051313097094	0.0303051313097094	0.0011593878312803	0.0314645191409897	26	46
Gastrulation	Ga_M6	Ga_M10	Primitive streak	Anterior primitive streak	Developmental progression	0.0005759701339051	0.0005759701339051	0.0005834176973751	0.0011593878312803	22	26
Gastrulation	Ga_M28	Ga_M13	Nascent mesoderm	Cardiopharyngeal mesoderm	Developmental progression	0.006763362215146	0.006763362215146	0.0032225857924821	0.0099859480076282	44	29
Gastrulation	Ga_M28	Ga_M34	Nascent mesoderm	Primordial germ cells	Developmental progression	0.0011936384240611	-0.0011936384240611	0.0032225857924821	0.002028947368421	44	50
Gastrulation	Ga_M35	Ga_M19	Spinal cord	Floor plate	Developmental progression	0.0809006546080964	0.0809006546080964	0.015675142118863	0.0965757967269595	51	35
Gastrulation	Ga_M14	Ga_M34	CLE and NMPs	Primordial germ cells	Developmental progression	0.0040626881372769	-0.0040626881372769	0.006091635505698	0.002028947368421	30	50
Gastrulation	Ga_M28	Ga_M26	Nascent mesoderm	Lateral plate mesoderm	Developmental progression	0.0148082066278451	0.0148082066278451	0.0032225857924821	0.0180307924203273	44	42
Gastrulation	Ga_M28	Ga_M32	Nascent mesoderm	Paraxial mesoderm (Tbx6-)	Developmental progression	0.013309903568459	0.013309903568459	0.0032225857924821	0.0165324893609412	44	48
Notochord	No_M1	No_M2	Notochord	Ciliated nodal cells	Developmental progression	0.013803	0.013803	0.283269485903814	0.297072222222222	282	283
Blood	B_M8	B_M9	Definitive early erythroblasts (CD36-)	Definitive erythroblasts (CD36+)	Developmental progression	0.014862	-0.014862	0.0188329592727741	0.0039714439901251	206	207
Blood	B_M11	B_M18	Hematopoietic stem cells (Cd34+)	Monocytes	Developmental progression	0.010105	-0.010105	0.0158012774098601	0.0056960540901705	183	190
Blood	B_M19	B_M23	Monocytic myeloid-derived suppressor cells	PMN myeloid-derived suppressor cells	Developmental progression	0.00148	-0.00148	0.0033044384265434	0.0018243834785246	191	196
Blood	B_M25	B_M26	Regulatory T cells	T cells	Developmental progression	0.006868	-0.006868	0.0239902040816326	0.017122393899583	198	199
Blood	B_M26	B_M1	T cells	Activated T cells	Developmental progression	0.00236	-0.00236	0.017122393899583	0.0147628421352934	199	181
Blood	B_M15	B_M8	Megakaryocyte-erythroid progenitors	Definitive early erythroblasts (CD36-)	Developmental progression	0.007602	-0.007602	0.0264352485858886	0.0188329592727741	187	206
Blood	B_M5	B_M17	Border-associated macrophages	Microglia	Developmental progression	0.001046	0.001046	0.007769830191284	0.0088159018001537	203	189
Blood	B_M11	B_M5	Hematopoietic stem cells (Cd34+)	Border-associated macrophages	Developmental progression	0.008031	-0.008031	0.0158012774098601	0.007769830191284	183	203
Blood	B_M12	B_M19	Hematopoietic stem cells (Mpo+)	Monocytic myeloid-derived suppressor cells	Developmental progression	0.006219	-0.006219	0.0095232810638379	0.0033044384265434	184	191
Blood	B_M11	B_M12	Hematopoietic stem cells (Cd34+)	Hematopoietic stem cells (Mpo+)	Developmental progression	0.006278	-0.006278	0.0158012774098601	0.0095232810638379	183	184
Blood	B_M11	B_M7	Hematopoietic stem cells (Cd34+)	Conventional dendritic cells	Developmental progression	0.006205	-0.006205	0.0158012774098601	0.0095962704301857	183	205
Blood	B_M3	B_M4	B cell progenitors	B cells	Developmental progression	0.014357	-0.014357	0.0293317889317889	0.014974537628415	201	202
Blood	B_M11	B_M8	Hematopoietic stem cells (Cd34+)	Definitive early erythroblasts (CD36-)	Developmental progression	0.003032	0.003032	0.0158012774098601	0.0188329592727741	183	206
