system	celltype_new	total_cells	age_mean	age_weighted_celltype	meta_group
Epithelial_cells	Placodal area	59952	7.190969442220443	7.350172509814615	Ep_M21
Epithelial_cells	Pre-epidermal keratinocytes	112634	12.419819947795515	12.049528142257325	Ep_M22
Epithelial_cells	Primordial germ cells	1384	23.57369942196532	22.93855829016844	Ep_M23
Epithelial_cells	Thymic epithelial cells	912	32.584429824561404	33.65292749191887	Ep_M24
Epithelial_cells	Thyroid gland cells	936	34.3525641025641	34.54126669360193	Ep_M25
Epithelial_cells	Tooth junctional epithelium	905	38.550276243093926	38.62028955001262	Ep_M26
Eye	Amacrine cells	2609	40.87504791107704	40.7753222705037	Ey_M1
Eye	Amacrine/Horizontal precursor cells	2320	36.30560344827586	35.398448556996435	Ey_M2
Eye	Bipolar precursor cells	1105	39.41990950226244	39.912003452646886	Ey_M3
Eye	Cholinergic amacrine cells	580	39.18448275862069	39.01061603620683	Ey_M4
Eye	Ciliary margin cells	553	24.918625678119348	24.809566471570967	Ey_M5
Eye	Cone precursor cells	2793	36.93197278911565	37.64925652017528	Ey_M6
Eye	Eye field	42457	7.830251784158091	8.119862889068393	Ey_M7
Eye	Horizontal cells	471	35.76645435244161	36.813107921210474	Ey_M8
Eye	Iris pigment epithelium	236	35.17372881355932	34.81975593867427	Ey_M9
Eye	Naive retinal progenitor cells	22496	34.066678520625885	34.53983356319809	Ey_M10
Eye	Optic stalk	3437	13.6491125981961	14.255105470726752	Ey_M11
Eye	PV-containing retinal ganglion cells	742	33.66576819407008	32.86399119552576	Ey_M13
Eye	Photoreceptor precursor cells	1540	40.176623376623375	39.475164904431594	Ey_M12
Eye	Retinal ganglion cells	6903	33.147037519918875	32.338532443224345	Ey_M14
Eye	Retinal pigment cells	1850	22.778378378378378	21.952251870167945	Ey_M15
Eye	Retinal progenitor cells	4757	35.38805970149254	35.44776134262107	Ey_M16
Eye	Rod precursor cells	467	42.63169164882227	43.18691533752408	Ey_M17
Eye	Suprachiasmatic nucleus	4116	26.849125364431487	27.59894432241461	Ey_M18
Renal	Anterior intermediate mesoderm	7833	7.677390527256479	8.043300667901498	R_M1
Renal	Ascending loop of Henle	1728	39.9369212962963	39.1228463755476	R_M2
Renal	Collecting duct intercalated cells	182	39.96703296703296	41.46781860516072	R_M3
Renal	Collecting duct principal cells	840	38.62380952380953	38.09526036135436	R_M4
Renal	Connecting tubule	254	39.346456692913385	39.43118733972782	R_M5
Renal	Distal convoluted tubule	639	39.90297339593114	39.56052986245229	R_M6
Renal	Metanephric mesenchyme	16036	33.3190321776004	33.23132531865703	R_M7
Renal	Nephron progenitors	11348	35.73528375044061	35.8766915782678	R_M8
Renal	Podocytes	2396	38.69198664440734	38.786561311776474	R_M9
Renal	Posterior intermediate mesoderm	10584	8.829837490551776	8.820635702904779	R_M10
Renal	Proximal tubule cells	7609	38.58259955316073	38.6682047842604	R_M11
Renal	Renal pericytes and mesangial cells	7231	10.531185174941225	10.341360996964085	R_M12
Renal	Ureteric bud	3705	28.373009446693658	28.04721722514033	R_M13
Renal	Ureteric bud stalk	253	29.08300395256917	27.99284787263915	R_M14
Mesoderm	Adipocyte cells (Cyp2e1+)	4767	41.8246276484162	41.50405576568115	M_M1
Mesoderm	Adipocyte progenitor cells	19151	34.963605033679706	34.58405692652449	M_M2
Mesoderm	Brown adipocyte cells	42631	41.015528605944034	43.015528605944034	M_M3
Mesoderm	Chondrocytes (Atp1a2+)	97338	23.033676467566615	22.257549426363617	M_M4
Mesoderm	Chondrocytes (Otor+)	6521	35.58503297040331	35.687872130210415	M_M5
Mesoderm	Dermatome	159301	26.88259332960873	25.949338494930416	M_M6
Mesoderm	Dermomyotome	131041	8.742912523561326	8.205510758535159	M_M7
Mesoderm	Early chondrocytes	130217	24.171982152867898	24.245066490289187	M_M8
Mesoderm	Facial mesenchyme	378403	12.041289313245407	11.630046069610732	M_M9
Mesoderm	Fibroblasts	473634	29.335898605252147	29.33469585879672	M_M10
Mesoderm	Mesodermal progenitors (Tbx6+)	50325	5.868375558867362	5.72946034349573	M_M11
Mesoderm	Muscle progenitor cells	26992	14.867997925311204	14.589976922365	M_M12
Mesoderm	Muscle progenitor cells (Prdm1+)	5017	10.228224038269882	9.445265893202125	M_M13
Mesoderm	Myoblasts	149216	28.45436146257774	27.66158466939141	M_M14
Mesoderm	Myofibroblasts	39998	28.426821341067058	28.54295127282206	M_M15
Mesoderm	Myotubes	22340	32.48491495076097	32.88504503328093	M_M16
Mesoderm	Pre-osteoblasts (Sp7+)	86242	36.04897845597273	35.67642090980682	M_M17
Mesoderm	Sclerotome	475696	11.561448908546623	11.56147442497996	M_M18
Lateral_plate_mesoderm	Adrenocortical cells	2148	36.0512104283054	36.900019302712344	L_M1
Lateral_plate_mesoderm	Airway smooth muscle cells	4926	36.18229801055623	37.27340487941188	L_M2
Lateral_plate_mesoderm	Allantois	31010	7.087294421154467	6.712301265585035	L_M3
Lateral_plate_mesoderm	Amniotic mesoderm	25231	10.97237525266537	10.925758664455168	L_M4
Lateral_plate_mesoderm	Atrial cardiomyocytes	1005	30.97313432835821	31.794130647963215	L_M5
Lateral_plate_mesoderm	Cardiopharyngeal mesoderm	19277	7.512320381802147	7.348912471816769	L_M6
Lateral_plate_mesoderm	Extraembryonic mesoderm	57523	5.6804408671314075	5.663562218737729	L_M7
Lateral_plate_mesoderm	First heart field	28638	7.737237237237238	7.707005624882624	L_M8
Lateral_plate_mesoderm	Foregut mesenchyme	17976	10.387572318647086	10.04227776833542	L_M9
Lateral_plate_mesoderm	Gastrointestinal smooth muscle cells	7825	35.00038338658147	34.67092125373224	L_M10
Lateral_plate_mesoderm	Gonad progenitor cells	4229	15.92504138094112	15.911256511969722	L_M11
Lateral_plate_mesoderm	Granulosa cells	76	38.63157894736842	38.30346045146648	L_M12
Lateral_plate_mesoderm	Gut mesenchyme	56937	16.55085445316754	17.082057703618695	L_M13
Lateral_plate_mesoderm	Hepatic mesenchyme	24510	19.773684210526312	19.5220360259506	L_M14
Lateral_plate_mesoderm	Leydig cells	245	34.84897959183674	34.52898647906086	L_M15
Lateral_plate_mesoderm	Limb mesenchyme progenitors	222702	14.344253756140496	14.654745719678871	L_M16
Lateral_plate_mesoderm	Lung mesenchyme	60258	32.032360848352084	31.294535269078345	L_M17
Lateral_plate_mesoderm	Meninges	5063	24.542958720126407	24.51889069349356	L_M18
Lateral_plate_mesoderm	Mesothelial cells	37131	26.27898521451079	25.322930727149405	L_M19
Lateral_plate_mesoderm	Proepicardium	9451	13.22304518040419	13.724375238516023	L_M20
Lateral_plate_mesoderm	Renal stromal cells	12270	35.42053789731052	35.21615256313576	L_M21
Lateral_plate_mesoderm	Second heart field	3537	6.107152954481199	5.953799803104094	L_M22
Lateral_plate_mesoderm	Sertoli cells	1220	32.34508196721311	31.474682262202577	L_M23
Lateral_plate_mesoderm	Somatic mesoderm	126739	7.982696723187019	7.979944291874459	L_M24
Lateral_plate_mesoderm	Splanchnic mesoderm	123694	13.624104645334452	13.275773400075105	L_M25
Lateral_plate_mesoderm	Vascular smooth muscle cells	15949	33.31976926453069	32.93732906304407	L_M26
Lateral_plate_mesoderm	Vascular smooth muscle cells (Pparg+)	7384	37.691495124593715	38.69506664699234	L_M27
Lateral_plate_mesoderm	Ventricular cardiomyocytes	2215	37.02483069977426	36.889704701059074	L_M28
PNS_neurons	Corticofugal neurons	1413	34.89101203113942	34.09861469721295	PN_M1
PNS_neurons	Dorsal root ganglion neurons	9289	28.69404672192916	28.80024949484362	PN_M2
PNS_neurons	Enteric neurons	4640	11.76271551724138	11.614483517404102	PN_M3
PNS_neurons	Neural crest (PNS neurons)	50974	13.877251147643896	14.136196248171304	PN_M4
PNS_neurons	Olfactory sensory neurons	20964	29.828038542262927	30.783375483513293	PN_M5
PNS_neurons	Otic sensory neurons	7640	14.053403141361256	13.61523017845056	PN_M6
PNS_neurons	Parasympathetic neurons	5261	32.08154343280745	32.3994158187241	PN_M7
PNS_neurons	Sympathetic neurons	12782	28.83304647160069	28.888460470963196	PN_M8
PNS_glia	Melanocyte cells	2274	27.273526824978013	27.83810461193853	PG_M1
PNS_glia	Myelinating Schwann cells	28658	25.13629702002931	24.998462882869923	PG_M2
PNS_glia	Myelinating Schwann cells (Tgfb2+)	5617	25.415168239273633	25.920356215094483	PG_M3
PNS_glia	Neural crest (PNS glia)	69628	9.652682828747055	8.992216444655273	PG_M4
PNS_glia	Olfactory ensheathing cells	1991	34.24510296333501	35.47856296344024	PG_M5
PNS_glia	Satellite glial cells	4304	31.672165427509295	32.27172019731232	PG_M6
Brain_spinal_cord	Cortical Interneurons (Prox1+)	2800	35.29714285714286	35.18479463113795	BS_M9
Brain_spinal_cord	Cranial motor neurons	20964	15.441900400686892	14.77354487048358	BS_M10
Brain_spinal_cord	Deep-layer neurons	164552	29.526113325878747	29.952184660663292	BS_M11
Brain_spinal_cord	Di/mesencephalon GABAergic neurons	15589	15.46782988004362	15.69088251472566	BS_M12
Brain_spinal_cord	Di/mesencephalon glutamatergic neurons	30999	14.63263331075196	14.629775312087578	BS_M13
Brain_spinal_cord	GABAergic cortical interneurons	380281	28.594389412040037	28.69272972028673	BS_M17
Brain_spinal_cord	GABAergic neurons (after E13.0)	205268	29.148284194321576	28.764396472036335	BS_M18
Brain_spinal_cord	Glutamatergic neurons (after E13.0)	372925	29.548930750150845	29.793430306865584	BS_M19
Brain_spinal_cord	Hypothalamic Sim1 neurons	19592	14.546345447121274	14.678482118936904	BS_M21
Brain_spinal_cord	Midbrain dopaminergic neurons	5495	15.634576888080073	15.504999003062116	BS_M26
Brain_spinal_cord	Neurons (Slc17a8+)	1938	17.978328173374614	17.31352963791685	BS_M32
Brain_spinal_cord	Precerebellar neurons	1286	15.754276827371696	16.080627411453445	BS_M36
Brain_spinal_cord	Spinal V0 interneurons	9397	13.055230392678514	13.291942723529798	BS_M47
Brain_spinal_cord	Spinal V1 interneurons	31325	12.807214684756584	12.45297114552636	BS_M48
Brain_spinal_cord	Spinal V2a interneurons	11065	13.321825576140984	12.63465589192929	BS_M49
Brain_spinal_cord	Spinal V2b interneurons	8575	14.195102040816328	14.28598568350218	BS_M50
Brain_spinal_cord	Spinal V3 interneurons	4440	13.687837837837838	13.53732020595192	BS_M51
Brain_spinal_cord	Spinal cord motor neurons	31602	11.769001961901145	11.872253705719062	BS_M38
Brain_spinal_cord	Spinal dI1 interneurons	35714	13.616284930279445	13.053201404559523	BS_M41
Brain_spinal_cord	Spinal dI2 interneurons	21843	13.045323444581788	12.635771729648868	BS_M42
Brain_spinal_cord	Spinal dI3 interneurons	5430	14.864456721915284	15.356306882271069	BS_M43
Brain_spinal_cord	Spinal dI4 interneurons	38632	15.515013460343758	15.7016769945917	BS_M44
Brain_spinal_cord	Spinal dI5 interneurons	39157	14.471103506397323	14.733480786810656	BS_M45
Brain_spinal_cord	Spinal dI6 interneurons	10964	14.303903684786574	15.111644109689149	BS_M46
Brain_spinal_cord	Striatal projection neurons	6235	9.706335204490776	9.755190183782137	BS_M52
Brain_spinal_cord	Subplate neurons	35716	38.0497816104827	36.48007345462247	BS_M53
Brain_spinal_cord	Upper-layer neurons	96626	36.76237244633949	37.01807338350018	BS_M56
Brain_spinal_cord	Anterior floor plate	16234	12.310582727608724	12.798416559340923	BS_M1
Brain_spinal_cord	Anterior roof plate	16080	8.603047263681592	9.35163078819726	BS_M2
Brain_spinal_cord	Astrocytes	52629	32.779000171008384	31.802626365478215	BS_M3
Brain_spinal_cord	Cajal-Retzius cells	67799	23.989881856664553	23.318396212168512	BS_M4
Brain_spinal_cord	Cerebellar Purkinje cells	21825	24.96898052691867	24.547276763787774	BS_M5
Brain_spinal_cord	Cerebellum-related cells	4226	35.50970184571699	34.72108630364846	BS_M6
Brain_spinal_cord	Choroid plexus	7264	24.31525330396476	23.93547946361678	BS_M7
Brain_spinal_cord	Committed oligodendrocyte precursors	512	39.498046875	39.34878121458656	BS_M8
Brain_spinal_cord	Diencephalon	77273	12.980601244936784	12.468808622406232	BS_M14
Brain_spinal_cord	Dorsal telencephalon	29378	14.87412349377085	15.797142447234531	BS_M15
Brain_spinal_cord	Ependymal cells	2872	37.866991643454035	37.95125814364831	BS_M16
Brain_spinal_cord	Floorplate and p3 domain	44899	9.24298982159959	9.211649375949458	BS_M34
Brain_spinal_cord	Hindbrain	196381	10.7855698871072	10.981179182619696	BS_M20
Brain_spinal_cord	Hypothalamus	52884	13.195049542394676	13.211105373924768	BS_M22
Brain_spinal_cord	Hypothalamus (Sim1+)	14571	10.527280214123945	10.475635996216417	BS_M23
Brain_spinal_cord	Intermediate neuronal progenitors	37282	25.44579153478891	26.3381883647615	BS_M24
Brain_spinal_cord	Midbrain	143471	14.921614821113671	14.82312394247023	BS_M25
Brain_spinal_cord	Midbrain-hindbrain boundary	66056	7.778506116022768	7.327085836303372	BS_M27
Brain_spinal_cord	Multiciliated ependymal cells	4451	36.398786789485506	36.69223542922437	BS_M28
Brain_spinal_cord	NMPs and spinal cord progenitors	53719	5.563562240548037	5.4510732158772575	BS_M31
Brain_spinal_cord	Neural progenitor cells (Neurod1+)	23099	14.21949002121304	13.987930938484894	BS_M29
Brain_spinal_cord	Neural progenitor cells (Ror1+)	12037	37.714463736811496	36.8816468154458	BS_M30
Brain_spinal_cord	Oligodendrocyte progenitor cells	10900	37.43284403669725	37.76511412425749	BS_M33
Brain_spinal_cord	Posterior roof plate	11564	8.931771013490142	8.867702489537479	BS_M35
Brain_spinal_cord	Spinal cord dorsal progenitors (after E13.0)	8087	22.59193767775442	22.88250571876845	BS_M37
Brain_spinal_cord	Spinal cord ventral progenitors (after E13.0)	1965	22.713994910941476	22.581525953748397	BS_M39
Brain_spinal_cord	Spinal cord/r7/r8	395141	10.183443378439586	9.929216764160484	BS_M40
Brain_spinal_cord	Telencephalon	413590	18.602492806886037	19.235662176168606	BS_M54
Brain_spinal_cord	Thalamic neuronal precursors	57266	29.11280690112807	28.934336376516775	BS_M55
Gastrulation	Epiblast	11315	1.977463543968184	1.6387485390632022	Ga_M5
Gastrulation	Primitive streak	7573	2.2544566222104847	1.9218891459611709	Ga_M6
Gastrulation	Extraembryonic ectoderm	10351	3.588059124722249	2.4072472881622384	Ga_M1
Gastrulation	Nascent mesoderm	5501	2.7562261407016906	2.6762772098503884	Ga_M28
Gastrulation	Definitive endoderm	354	3.3192090395480225	3.183132530120482	Ga_M16
Gastrulation	Anterior primitive streak	893	2.541993281075028	3.4783215282249413	Ga_M10
Gastrulation	Extraembryonic visceral endoderm	8894	4.365302451090623	3.615744258079598	Ga_M3
Gastrulation	Embryonic visceral endoderm	1260	3.15	4.707892666724938	Ga_M4
Gastrulation	Primordial germ cells	380	3.892105263157895	5.165441706297738	Ga_M34
Gastrulation	Hematoendothelial progenitors	2598	5.57197844495766	5.193701399688958	Ga_M23
Gastrulation	Blood progenitors	2978	5.301880456682337	5.433704407638699	Ga_M11
Gastrulation	Extraembryonic mesoderm	3194	5.718847839699436	5.445533357370507	Ga_M18
Gastrulation	Definitive ectoderm	6516	5.124309392265193	5.709787438715778	Ga_M15
Gastrulation	Notochord	952	5.131302521008403	5.861117705535856	Ga_M30
Gastrulation	Amniotic mesoderm	1152	6.6640625	6.057164213431463	Ga_M9
Gastrulation	Cardiopharyngeal mesoderm	2214	5.9286359530261965	6.093416423761182	Ga_M13
Gastrulation	Intermediate mesoderm	1064	5.9718045112781954	6.10156606889766	Ga_M25
Gastrulation	Paraxial mesoderm (Tbx6+)	6185	6.044462409054163	6.140950618952095	Ga_M31
Gastrulation	Allantois	2804	6.56169757489301	6.214629937865465	Ga_M7
Gastrulation	Amniotic ectoderm	524	6.351145038167939	6.441620225635449	Ga_M8
Gastrulation	Gut	1896	6.431434599156118	6.468793419121943	Ga_M21
Gastrulation	Forebrain	1429	7.395381385584325	6.6836210170922135	Ga_M20
Gastrulation	Primitive erythroid cells	6732	6.991532976827094	6.688456082505846	Ga_M33
Gastrulation	Surface ectoderm	2795	6.746690518783542	6.800362285749079	Ga_M36
Gastrulation	Gut mesenchyme	1065	6.949295774647887	6.8294282431793585	Ga_M22
Gastrulation	Paraxial mesoderm (Tbx6-)	3107	6.832635983263598	6.86916664143042	Ga_M32
Gastrulation	CLE and NMPs	4992	6.545873397435898	6.957633776056415	Ga_M14
Gastrulation	Endothelium	982	7.2922606924643585	7.077355623100304	Ga_M17
Gastrulation	Spinal cord	2150	7.147906976744186	7.167634860243839	Ga_M35
Gastrulation	Lateral plate mesoderm	2580	7.1468992248062015	7.21713978623037	Ga_M26
Gastrulation	Floor plate	258	7.441860465116279	7.232915196946251	Ga_M19
Gastrulation	Cardiogenic mesoderm	877	7.246294184720639	7.519393741851369	Ga_M12
Gastrulation	Midbrain	1228	7.493485342019544	7.52989117633203	Ga_M27
Gastrulation	Hindbrain	1075	7.56	7.582155574502231	Ga_M24
Gastrulation	Neural crest	721	7.783633841886269	7.988870339454647	Ga_M29
Gastrulation	Parietal endoderm	268	3.014925373134328	NA	Ga_M2
