system,node_id,node_name,n_cells,median,mean_scanpy,q90,pct_scanpy,variance,std
Lateral_plate_mesoderm,L_M25,Splanchnic mesoderm,127703.0,-0.1931525230407715,0.4580196867046414,5.039171844482422,0.4962765166049349,8.43187191502288,2.9037685711886336
Lateral_plate_mesoderm,L_M13,Gut mesenchyme,61542.0,2.471507225036621,2.629152856566104,6.642102064132691,0.8160280783854928,8.05977845546177,2.838974895179908
Lateral_plate_mesoderm,L_M11,Gonad progenitor cells,4598.0,-1.5235542750358582,-0.9287410599773684,1.9732227735519416,0.2322749021313614,3.1027210086428747,1.7614542312086552
Lateral_plate_mesoderm,L_M22,Second heart field,3537.0,-1.3799658966064454,-0.4457364104499849,2.4977856006622323,0.4045801526717557,4.963668828663023,2.227929269223559
Lateral_plate_mesoderm,L_M24,Somatic mesoderm,126741.0,-1.6812731266021728,-0.8757126159725005,2.068110675811768,0.2957054149801564,3.9435248537295857,1.985831023458337
Lateral_plate_mesoderm,L_M26,Vascular smooth muscle cells,24161.0,-1.81119131565094,-1.4601996930236332,0.9875147438049314,0.1611688257936343,2.444527270149808,1.5634984074663485
Lateral_plate_mesoderm,L_M8,First heart field,28647.0,-1.721372365951538,-1.0765931939298072,1.4464829730987552,0.2987747408105561,3.010555919077795,1.7350953631076866
Lateral_plate_mesoderm,L_M7,Extraembryonic mesoderm,57543.0,-0.8782204055786133,0.1813822809966184,3.2133884830474857,0.3998922544879481,4.566622142780922,2.136965639120321
Lateral_plate_mesoderm,L_M20,Proepicardium,9654.0,-2.343885579109192,-1.834928163689364,0.8377436685562152,0.1838616117671431,2.726051370741529,1.6510758222266866
Lateral_plate_mesoderm,L_M10,Gastrointestinal smooth muscle cells,12120.0,-0.3170717668533325,0.6393234919466988,5.4286135969162,0.4863036303630363,8.945675786261097,2.9909322603932536
Lateral_plate_mesoderm,L_M9,Foregut mesenchyme,17991.0,2.247132616043091,2.202043180776328,6.731266174316406,0.7197487632705242,9.48213087521252,3.079306882272782
Lateral_plate_mesoderm,L_M17,Lung mesenchyme,74124.0,2.128250932693481,2.164175618378229,6.34145539522171,0.7155577141006961,9.18124937201774,3.030057651599676
Lateral_plate_mesoderm,L_M15,Leydig cells,294.0,-0.7220930767059326,0.3451509439053178,3.170732944965362,0.4319727891156462,5.074004226012758,2.2525550439473747
Lateral_plate_mesoderm,L_M5,Atrial cardiomyocytes,1286.0,-1.9755395865440368,-1.7026751149497914,0.4922934913635253,0.1376360808709175,1.8918494720041152,1.375445190476202
Lateral_plate_mesoderm,L_M23,Sertoli cells,1719.0,-0.8800766277313232,0.0999551110187195,2.714159147262573,0.4258289703315881,3.762726658681972,1.939774898972036
Lateral_plate_mesoderm,L_M19,Mesothelial cells,59211.0,-1.563799800872803,-0.5259876602792979,3.382647075653076,0.3434834743544274,6.702586841239664,2.588935464865755
Lateral_plate_mesoderm,L_M2,Airway smooth muscle cells,6938.0,-1.2448431253433228,-0.599408653000309,2.0786256709098816,0.3127702507927357,3.1587481492062945,1.7772867380381518
Lateral_plate_mesoderm,L_M16,Limb mesenchyme progenitors,223422.0,-1.254593369960785,-0.2284168270655034,2.7500394077301027,0.3637376802642533,4.740954704528445,2.1773733498250696
Lateral_plate_mesoderm,L_M21,Renal stromal cells,22908.0,-0.9658157539367676,-0.0122729038003645,2.895603603363037,0.4193731447529247,4.898022152821351,2.213147566887792
Lateral_plate_mesoderm,L_M18,Meninges,6376.0,-1.3988230895996094,-0.9917297773760564,1.688783710002899,0.1784818067754078,2.2255865912167003,1.491840001882474
Lateral_plate_mesoderm,L_M12,Granulosa cells,108.0,-1.2557414746284483,-0.5803532944343709,1.6600141854286192,0.3148148148148148,2.7045303628111244,1.644545640233534
Lateral_plate_mesoderm,L_M1,Adrenocortical cells,3048.0,-1.2777977061271668,-0.6187693197536344,2.0731148934364323,0.291994750656168,2.8337991148079933,1.6833891750893473
Lateral_plate_mesoderm,L_M3,Allantois,31010.0,-0.9860954976081848,-0.0080811792288776,2.7973259420394907,0.4659142212189616,4.990959226171634,2.2340454843560447
Lateral_plate_mesoderm,L_M28,Ventricular cardiomyocytes,3735.0,-1.4567970943450927,-1.2465494304743796,0.7242363128662107,0.1507362784471218,1.7151682262645085,1.309644312882131
Lateral_plate_mesoderm,L_M27,Vascular smooth muscle cells (Pparg+),11440.0,-1.5130154657363892,-1.3304225683362334,-0.4397447814941406,0.0941433566433566,1.4814811580625231,1.2171611060424676
Lateral_plate_mesoderm,L_M14,Hepatic mesenchyme,28242.0,0.4482952547073362,0.4064526289279784,4.148243438720705,0.528609871822109,6.618763044865604,2.5726956766912026
