system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d
Renal,R_M10,R_M7,Posterior intermediate mesoderm,Metanephric mesenchyme,Developmental progression,140,150,203,144,10600,0.0406316870737,-0.1495649655659993,0.5597441584269207,0.4137735849056603,0.1367884607423929,0.3698492405594379,29547,0.0013708019250943,-0.1354683685302734,0.4849885959625244,0.3433174264730768,0.0979990854076627,0.3130480560675353,0.0392608851486057,-0.0392608851486057,-0.11458758224403293
Renal,R_M8,R_M11,Nephron progenitors,Proximal tubule cells,Developmental progression,151,141,166,212,20280,-0.0501924591922861,-0.1549554061889648,0.3796464082400006,0.2725838264299803,0.0745411313120239,0.27302221761612,16160,-0.1134329417299467,-0.1742790603637695,0.188356782913208,0.1498762376237623,0.0455518059209902,0.2134286904823019,0.0632404825376606,-0.0632404825376606,-0.25807827034871467
Renal,R_M7,R_M8,Metanephric mesenchyme,Nephron progenitors,Developmental progression,150,151,144,166,29547,0.0013708019250943,-0.1354683685302734,0.4849885959625244,0.3433174264730768,0.0979990854076627,0.3130480560675353,20280,-0.0501924591922861,-0.1549554061889648,0.3796464082400006,0.2725838264299803,0.0745411313120239,0.27302221761612,0.051563261117380396,-0.051563261117380396,-0.17555378794566098
Renal,R_M1,R_M10,Anterior intermediate mesoderm,Posterior intermediate mesoderm,Developmental progression,139,140,21,203,7846,-0.0680901235816573,-0.185697218577067,0.375129607518514,0.2728778995666581,0.0779006783675062,0.2791069299883222,10600,0.0406316870737,-0.1495649655659993,0.5597441584269207,0.4137735849056603,0.1367884607423929,0.3698492405594379,0.1087218106553573,0.1087218106553573,0.3318383972521671
Renal,R_M8,R_M9,Nephron progenitors,Podocytes,Developmental progression,151,152,166,202,20280,-0.0501924591922861,-0.1549554061889648,0.3796464082400006,0.2725838264299803,0.0745411313120239,0.27302221761612,4879,-0.0108841272892339,-0.1301023356119791,0.4651973012288409,0.2717770034843205,0.0857122164534642,0.2927664879276046,0.0393083319030522,0.0393083319030522,0.1388660418362369
Renal,R_M10,R_M12,Posterior intermediate mesoderm,Renal pericytes and mesangial cells,Developmental progression,140,142,203,214,10600,0.0406316870737,-0.1495649655659993,0.5597441584269207,0.4137735849056603,0.1367884607423929,0.3698492405594379,7956,0.2308461242648491,-0.0739936733245849,0.9331284999847412,0.4573906485671191,0.2651180326487434,0.5148961377294875,0.1902144371911491,0.1902144371911491,0.4243224040899877
Renal,R_M8,R_M2,Nephron progenitors,Ascending loop of Henle,Developmental progression,151,145,166,26,20280,-0.0501924591922861,-0.1549554061889648,0.3796464082400006,0.2725838264299803,0.0745411313120239,0.27302221761612,4087,-0.1047375146371973,-0.1614183553059895,0.1791976044972737,0.1375091754343038,0.0443210582367579,0.2105256712060501,0.0545450554449112,-0.0545450554449112,-0.22374251851993043
Renal,R_M1,R_M13,Anterior intermediate mesoderm,Ureteric bud,Developmental progression,139,143,21,256,7846,-0.0680901235816573,-0.185697218577067,0.375129607518514,0.2728778995666581,0.0779006783675062,0.2791069299883222,5851,-0.0490144061200783,-0.1649713897705078,0.3888626988728841,0.277046658690822,0.0818259986336635,0.2860524403560711,0.019075717461578996,0.019075717461578996,0.06750052502732161
Renal,R_M13,R_M4,Ureteric bud,Collecting duct principal cells,Developmental progression,143,147,256,56,5851,-0.0490144061200783,-0.1649713897705078,0.3888626988728841,0.277046658690822,0.0818259986336635,0.2860524403560711,1895,-0.0888744440697323,-0.1634653854370117,0.2655898927052819,0.2390501319261213,0.0558755056373572,0.2363800026173051,0.039860037949654,-0.039860037949654,-0.15190895052431858
Renal,R_M8,R_M6,Nephron progenitors,Distal convoluted tubule,Developmental progression,151,149,166,77,20280,-0.0501924591922861,-0.1549554061889648,0.3796464082400006,0.2725838264299803,0.0745411313120239,0.27302221761612,1287,-0.1469966395273013,-0.1837274424235026,-0.0315046013196305,0.0932400932400932,0.0283485609748656,0.1683703090656592,0.0968041803350152,-0.0968041803350152,-0.4267987862384006
