celltype_new,SHH_UCell_score
Corticofugal neurons,0.0
Dorsal root ganglion neurons,0.0
Enteric neurons,0.0
Neural crest (PNS neurons),0.0
Olfactory sensory neurons,0.0
Otic sensory neurons,0.0
Parasympathetic neurons,0.0
Sympathetic neurons,0.0
