system	x	y	x_name	y_name	edge_type	x_number	y_number	x_id	y_id	n_x	median_x	sh_x	q90_x	frac>0_x	variance_x	std_x	n_y	median_y	sh_y	q90_y	frac>0_y	variance_y	std_y	abs_delta	delta	cohens_d	pct_change	abs_pct_change	system_name
Brain_spinal_cord	BS_M24	BS_M9	Intermediate neuronal progenitors	Cortical Interneurons (Prox1+)	Developmental progression	224	263	123	63	42068	-1.318324619929	-1.19715074438787	-0.65944442431132	0.0706712940952743	0.61136374237062	0.781897526771009	7555	-0.6851118516922	-0.427160668356698	-0.0820777931213378	0.0943745863666446	1.15392331223003	1.07420822573188	0.76999	0.76999	0.8196	-64.32	64.32	Brain_spinal_cord
Brain_spinal_cord	BS_M40	BS_M42	Spinal cord/r7/r8	Spinal dI2 interneurons	Developmental progression	242	244	234	236	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	21843	-0.516540222167969	0.0847611303171853	2.95376772880554	0.193700499015703	2.13192276929755	1.46011053324656	0.750738	-0.750738	-0.4391	-89.86	89.86	Brain_spinal_cord
Brain_spinal_cord	BS_M40	BS_M29	Spinal cord/r7/r8	Neural progenitor cells (Neurod1+)	Developmental progression	242	229	234	170	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	23270	-0.753164854049683	0.0910395145087029	2.05056684843699	0.433777395788569	2.79087717991838	1.6705918651539	0.74446	-0.74446	-0.4128	-89.1	89.1	Brain_spinal_cord
Brain_spinal_cord	BS_M40	BS_M44	Spinal cord/r7/r8	Spinal dI4 interneurons	Developmental progression	242	246	234	238	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	38632	-0.428375883102417	0.128656292402564	3.06545324087143	0.172732449782564	2.04299395678344	1.42933339595192	0.706843	-0.706843	-0.4166	-84.6	84.6	Brain_spinal_cord
Brain_spinal_cord	BS_M54	BS_M3	Telencephalon	Astrocytes	Developmental progression	257	230	249	27	430409	-0.959811356862386	-0.251393378014101	2.01397010040283	0.299378033451903	2.86576200872556	1.69285616894217	109750	0.57387865225474	0.445883106371793	2.57251387755076	0.607234624145786	2.7416200460182	1.65578381620856	0.697276	0.697276	0.4164	-277.36	277.36	Brain_spinal_cord
Brain_spinal_cord	BS_M49	BS_M19	Spinal V2a interneurons	Glutamatergic neurons (after E13.0)	Developmental progression	251	218	227	103	11065	-0.485100994110107	0.534915596459066	3.34862793159485	0.309263443289652	3.30733586434136	1.81860822178427	570526	-0.568314571380615	-0.143774781586842	2.35049537420273	0.175783399880111	1.78316934030527	1.33535363866852	0.67869	-0.67869	-0.4254	-126.88	126.88	Brain_spinal_cord
Brain_spinal_cord	BS_M54	BS_M33	Telencephalon	Oligodendrocyte progenitor cells	Developmental progression	257	234	249	180	430409	-0.959811356862386	-0.251393378014101	2.01397010040283	0.299378033451903	2.86576200872556	1.69285616894217	29522	-1.23521188577016	-0.918116330006979	0.85505599975586	0.230573809362509	1.41265351175607	1.18855101352701	0.666723	-0.666723	-0.4558	265.21	265.21	Brain_spinal_cord
Brain_spinal_cord	BS_M20	BS_M41	Hindbrain	Spinal dI1 interneurons	Developmental progression	220	243	115	235	197367	0.608872989018758	0.612983073489076	3.12752704493205	0.518683467854302	3.62182414914149	1.90310907442046	35714	-0.495518312454224	0.0203487611228183	2.85428542327881	0.167525340202722	1.86492508417635	1.36562259946749	0.592634	-0.592634	-0.3578	-96.68	96.68	Brain_spinal_cord
Brain_spinal_cord	BS_M47	BS_M19	Spinal V0 interneurons	Glutamatergic neurons (after E13.0)	Developmental progression	249	218	225	103	9397	-0.469279403686523	0.424761283978942	3.17655415916443	0.290092582739172	2.81922767867779	1.67905559130059	570526	-0.568314571380615	-0.143774781586842	2.35049537420273	0.175783399880111	1.78316934030527	1.33535363866852	0.568536	-0.568536	-0.3748	-133.85	133.85	Brain_spinal_cord
Brain_spinal_cord	BS_M21	BS_M19	Hypothalamic Sim1 neurons	Glutamatergic neurons (after E13.0)	Developmental progression	221	218	118	103	19592	-0.493675527572632	0.418549025185062	3.22062137126923	0.283789301755819	3.0366887656294	1.74260975712562	570526	-0.568314571380615	-0.143774781586842	2.35049537420273	0.175783399880111	1.78316934030527	1.33535363866852	0.562324	-0.562324	-0.3622	-134.35	134.35	Brain_spinal_cord
