id	meta_group	celltype_new	system	sh
90	Ep_M9	Dental epithelial cells	Epithelial_cells	1.08792835488002
91	Ey_M1	Amacrine cells	Eye	-0.857344164356845
92	Ey_M10	Naive retinal progenitor cells	Eye	1.14277047940336
93	Ey_M11	Optic stalk	Eye	-0.0683935984856205
94	Ey_M12	Photoreceptor precursor cells	Eye	-0.809900450080906
95	Ey_M13	PV-containing retinal ganglion cells	Eye	-2.05547909343127
96	Ey_M14	Retinal ganglion cells	Eye	-1.69124376580876
97	Ey_M15	Retinal pigment cells	Eye	-0.503614942011165
98	Ey_M16	Retinal progenitor cells	Eye	-0.194194488179484
99	Ey_M17	Rod precursor cells	Eye	-0.838688597192392
100	Ey_M18	Suprachiasmatic nucleus	Eye	-0.412945030060087
101	Ey_M2	Amacrine/Horizontal precursor cells	Eye	-0.594151179720183
102	Ey_M3	Bipolar precursor cells	Eye	-0.46874626717235
103	Ey_M4	Cholinergic amacrine cells	Eye	-1.09479630568252
104	Ey_M5	Ciliary margin cells	Eye	-0.376471654082989
105	Ey_M6	Cone precursor cells	Eye	-1.07588856777358
106	Ey_M7	Eye field	Eye	-0.0013291324760154
107	Ey_M8	Horizontal cells	Eye	-1.26892925840944
108	Ey_M9	Iris pigment epithelium	Eye	-0.509955168608073
109	G_M1	Airway club cells	Gut	-0.142068563513981
110	G_M10	Intestinal enteroendocrine cells	Gut	-0.294567753290063
111	G_M11	Intestinal goblet cells	Gut	-0.236967449964288
112	G_M12	Lung cells (Eln+)	Gut	1.16862611777817
113	G_M13	Lung progenitor cells	Gut	0.249582172690284
114	G_M14	Midgut/Hindgut epithelial cells	Gut	-0.128510676470163
115	G_M15	Pancreatic acinar cells	Gut	0.856798022773891
116	G_M16	Pancreatic islets	Gut	-0.387167119316684
117	G_M2	Airway goblet cells	Gut	-0.225753173197017
118	G_M3	Alveolar Type 1 cells	Gut	-0.109608864761266
119	G_M4	Alveolar Type 2 cells	Gut	-0.0677442893293462
120	G_M5	Biliary epithelial cells	Gut	-0.0879522946288747
