system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Brain_spinal_cord,BS_M34,BS_M28,Floorplate and p3 domain,Multiciliated ependymal cells,Developmental progression,235,228,95,154,44992,0.3423115149509001,0.3403608163197835,1.0584323539733886,0.6651849217638691,0.3109800900145099,0.5576558885320857,10452,-0.0267291244863323,-0.2114300346374512,0.552139702161153,0.3832759280520474,0.1656685796098619,0.4070240528640315,0.369041,-0.369041,-0.7559,-107.81,107.81
Brain_spinal_cord,BS_M27,BS_M34,Midbrain-hindbrain boundary,Floorplate and p3 domain,Developmental progression,227,235,149,95,66071,-0.0164505061721766,-0.1979978942871093,0.5672704060872396,0.4023096366030482,0.1737146323759948,0.416790873671671,44992,0.3423115149509001,0.3403608163197835,1.0584323539733886,0.6651849217638691,0.3109800900145099,0.5576558885320857,0.358762,0.358762,0.7288,-2180.86,2180.86
Brain_spinal_cord,BS_M14,BS_M55,Diencephalon,Thalamic neuronal precursors,Developmental progression,213,258,76,250,78021,0.1054517548543998,-0.0318214035034179,0.777690200805664,0.489252893451763,0.2439180099696658,0.4938805624537838,81788,-0.2221550361282954,-0.2905835978190104,0.0842006789843242,0.1274392331393358,0.0450829095109497,0.2123273640182766,0.327607,-0.327607,-0.8618,-310.67,310.67
Brain_spinal_cord,BS_M20,BS_M2,Hindbrain,Anterior roof plate,Developmental progression,220,219,115,23,197367,0.1030533454270931,-0.0550983460744221,0.7661683985392251,0.4858714982747876,0.2441674421650868,0.4941330207192055,16098,-0.2059160094821103,-0.295965830485026,0.2089224611918133,0.1783451360417443,0.069927041163656,0.264437215920256,0.308969,-0.308969,-0.7797,-299.81,299.81
Brain_spinal_cord,BS_M25,BS_M23,Midbrain,Hypothalamus (Sim1+),Developmental progression,225,223,147,120,145124,-0.07517710412365,-0.2531643931070964,0.5136334733963012,0.280918387034536,0.1708166081344406,0.4132996590059574,14611,0.2259043097272479,0.2343886280059814,0.8403410402933756,0.6365751830812402,0.2387000089314739,0.4885693491526806,0.301081,0.301081,0.6654,-400.5,400.5
Brain_spinal_cord,BS_M54,BS_M3,Telencephalon,Astrocytes,Developmental progression,257,230,249,27,430409,-0.1001094938961106,-0.2848587799072266,0.5164819984436037,0.2724199540437119,0.1868956151073665,0.4323142550360403,109750,0.1973013618097942,0.1979304234186808,0.811021277109782,0.5984510250569476,0.2342513997404879,0.4839952476424617,0.297411,0.297411,0.6481,-297.09,297.09
Brain_spinal_cord,BS_M3,BS_M33,Astrocytes,Oligodendrocyte progenitor cells,Developmental progression,230,234,27,180,109750,0.1973013618097942,0.1979304234186808,0.811021277109782,0.5984510250569476,0.2342513997404879,0.4839952476424617,29522,-0.0946420630863321,-0.214361572265625,0.3721180721918743,0.2725425106700088,0.0898005677995498,0.2996674286597559,0.291943,-0.291943,-0.7253,-147.97,147.97
Brain_spinal_cord,BS_M14,BS_M15,Diencephalon,Dorsal telencephalon,Developmental progression,213,214,76,79,78021,0.1054517548543998,-0.0318214035034179,0.777690200805664,0.489252893451763,0.2439180099696658,0.4938805624537838,30144,-0.1746025502721806,-0.2793508656819661,0.2816248394648235,0.2105228237791932,0.0797875907806804,0.2824669729024625,0.280054,-0.280054,-0.6961,-265.58,265.58
Brain_spinal_cord,BS_M42,BS_M5,Spinal dI2 interneurons,Cerebellar Purkinje cells,Developmental progression,244,252,236,46,21843,0.0192526457188165,-0.0693880462646484,0.4094812593460082,0.1960353431305223,0.0473005585991585,0.2174869159263575,26737,-0.2340936616026,-0.2791431427001953,-0.0414543027877807,0.0899128548453454,0.0299322423093094,0.1730093705823746,0.253346,-0.253346,-1.2892,-1315.9,1315.9
Brain_spinal_cord,BS_M6,BS_M28,Cerebellum-related cells,Multiciliated ependymal cells,Developmental progression,260,228,47,154,9252,0.2154859401915495,0.110652515888214,0.9987064266204831,0.543450064850843,0.3124652377532234,0.5589859012114915,10452,-0.0267291244863323,-0.2114300346374512,0.552139702161153,0.3832759280520474,0.1656685796098619,0.4070240528640315,0.242215,-0.242215,-0.4954,-112.4,112.4
