celltype_new,SHH_UCell_score
Melanocyte cells,0.0
Myelinating Schwann cells,0.0
Myelinating Schwann cells (Tgfb2+),0.0
Neural crest (PNS glia),0.0
Olfactory ensheathing cells,0.0
Satellite glial cells,0.0
