system	celltype_new	total_cells	age_weighted
Epithelial_cells	Olfactory epithelial cells	29880	86.04779116465863
Epithelial_cells	Pituitary/Pineal gland progenitors	2366	116.17328825021131
Epithelial_cells	Primordial germ cells	1384	135.6112716763006
Epithelial_cells	Branchial arch epithelium	29374	148.4110437802138
Epithelial_cells	Parathyroid epithelial cells	199	149.87939698492465
Epithelial_cells	Olfactory bulb cells	3454	162.9258830341633
Epithelial_cells	Granular keratinocytes	33413	163.4994163948164
Epithelial_cells	Lens epithelial cells	654	180.3119266055046
Epithelial_cells	Pituitary gland cells	2980	184.01073825503352
Epithelial_cells	Thymic epithelial cells	912	189.5065789473684
Epithelial_cells	Thyroid gland cells	936	200.1153846153846
Epithelial_cells	Basal keratinocytes	13356	203.63072776280325
Epithelial_cells	Dental epithelial cells	4112	204.7106031128405
Epithelial_cells	Cochlear hair cells	248	212.1290322580645
Epithelial_cells	Corneal epithelial cells	894	212.3489932885906
Epithelial_cells	Conjunctival goblet cells	566	217.0600706713781
Epithelial_cells	Bladder urothelial cells	536	217.88059701492537
Epithelial_cells	Tooth junctional epithelium	905	225.3016574585635
Epithelial_cells	Pineal gland	155	229.81935483870967
Epithelial_cells	Nonsensory cochlear epithelium	30	231.4
Eye	Eye field	42457	42.037449654945
Eye	Optic stalk	3437	75.8946755891766
Eye	Retinal pigment cells	1850	130.6702702702703
Eye	Ciliary margin cells	553	143.5117540687161
Eye	Suprachiasmatic nucleus	4116	155.09475218658892
Eye	Retinal ganglion cells	6903	192.8822251195133
Eye	PV-containing retinal ganglion cells	742	195.9946091644205
Eye	Naive retinal progenitor cells	22496	198.40007112375537
Eye	Iris pigment epithelium	236	205.04237288135593
Eye	Retinal progenitor cells	4757	206.3283582089552
Eye	Horizontal cells	471	208.59872611464968
Eye	Amacrine/Horizontal precursor cells	2320	211.83362068965516
Eye	Cone precursor cells	2793	215.59183673469389
Eye	Cholinergic amacrine cells	580	229.10689655172413
Eye	Bipolar precursor cells	1105	230.51945701357465
Eye	Photoreceptor precursor cells	1540	235.05974025974027
Eye	Amacrine cells	2609	239.25028746646225
Eye	Rod precursor cells	467	249.7901498929336
Gastrulation	Epiblast	11315	11.864781263809103
Gastrulation	Primitive streak	7573	13.526739733262907
Gastrulation	Anterior primitive streak	893	15.251959686450167
Gastrulation	Nascent mesoderm	5501	16.537356844210144
Gastrulation	Parietal endoderm	268	18.08955223880597
Gastrulation	Embryonic visceral endoderm	1260	18.9
Gastrulation	Definitive endoderm	354	19.915254237288135
Gastrulation	Extraembryonic ectoderm	10351	21.528354748333495
Gastrulation	Primordial germ cells	380	23.352631578947367
Gastrulation	Extraembryonic visceral endoderm	8894	26.191814706543735
Gastrulation	Definitive ectoderm	6516	30.74585635359116
Gastrulation	Notochord	952	30.78781512605042
Gastrulation	Blood progenitors	2978	31.811282740094025
Gastrulation	Hematoendothelial progenitors	2598	33.431870669745955
Gastrulation	Extraembryonic mesoderm	3194	34.31308703819662
Gastrulation	Cardiopharyngeal mesoderm	2214	35.57181571815718
Gastrulation	Intermediate mesoderm	1064	35.83082706766917
Gastrulation	Paraxial mesoderm (Tbx6+)	6185	36.26677445432498
Gastrulation	Amniotic ectoderm	524	38.10687022900763
Gastrulation	Gut	1896	38.58860759493671
Gastrulation	CLE and NMPs	4992	39.27524038461539
Gastrulation	Allantois	2804	39.37018544935806
Gastrulation	Amniotic mesoderm	1152	39.984375
Gastrulation	Surface ectoderm	2795	40.48014311270125
Gastrulation	Paraxial mesoderm (Tbx6-)	3107	40.995815899581586
Gastrulation	Gut mesenchyme	1065	41.695774647887326
Gastrulation	Primitive erythroid cells	6732	41.94919786096257
Gastrulation	Lateral plate mesoderm	2580	42.88139534883721
Gastrulation	Spinal cord	2150	42.88744186046512
Gastrulation	Cardiogenic mesoderm	877	43.47776510832383
Gastrulation	Endothelium	982	43.753564154786154
Gastrulation	Forebrain	1429	44.372288313505955
Gastrulation	Floor plate	258	44.65116279069768
Gastrulation	Midbrain	1228	44.960912052117266
Gastrulation	Hindbrain	1075	45.36
Gastrulation	Neural crest	721	46.70180305131761
Gut	Extraembryonic visceral endoderm	1660	13.44578313253012
Gut	Gut	21281	40.72477797096001
Gut	Pancreatic islets	932	175.59656652360516
Gut	Pancreatic acinar cells	3480	178.75689655172414
Gut	Biliary epithelial cells	1066	189.03377110694183
Gut	Lung progenitor cells	28164	190.24243715381337
Gut	Foregut epithelial cells	3988	193.1960882647944
Gut	Hepatocytes	156655	193.30421627142445
Gut	Midgut/Hindgut epithelial cells	29802	206.90738876585465
Gut	Intestinal goblet cells	952	209.14915966386556
Gut	Intestinal enteroendocrine cells	220	220.8272727272727
Gut	Airway goblet cells	135	226.53333333333333
Gut	Lung cells (Eln+)	254	235.13385826771653
Gut	Airway club cells	2265	241.7801324503311
Gut	Alveolar Type 1 cells	5304	243.9445701357466
Gut	Alveolar Type 2 cells	7181	246.2105556329202
Lateral_plate_mesoderm	Extraembryonic mesoderm	57523	29.146045929454303
Lateral_plate_mesoderm	Second heart field	3537	31.608142493638677
Lateral_plate_mesoderm	Allantois	31010	37.013866494679135
