system	celltype_new	total_cells	age_mean	age_weighted
Epithelial_cells	Thymic epithelial cells	912	189.5065789473684	189.5065789473684
Epithelial_cells	Thyroid gland cells	936	200.1153846153846	200.1153846153846
Epithelial_cells	Basal keratinocytes	13356	203.63072776280325	203.63072776280325
Epithelial_cells	Dental epithelial cells	4112	204.71060311284046	204.71060311284046
Epithelial_cells	Cochlear hair cells	248	212.1290322580645	212.1290322580645
Epithelial_cells	Corneal epithelial cells	894	212.3489932885906	212.3489932885906
Epithelial_cells	Conjunctival goblet cells	566	217.0600706713781	217.0600706713781
Epithelial_cells	Bladder urothelial cells	536	217.88059701492537	217.88059701492537
Epithelial_cells	Tooth junctional epithelium	905	225.30165745856354	225.30165745856354
Epithelial_cells	Pineal gland	155	229.81935483870967	229.81935483870967
Epithelial_cells	Nonsensory cochlear epithelium	30	231.4	231.4
Eye	Eye field	42457	42.037449654945	42.037449654945
Eye	Optic stalk	3437	75.89467558917661	75.8946755891766
Eye	Retinal pigment cells	1850	130.67027027027027	130.67027027027027
Eye	Ciliary margin cells	553	143.5117540687161	143.5117540687161
Eye	Suprachiasmatic nucleus	4116	155.09475218658892	155.09475218658892
Eye	Retinal ganglion cells	6903	192.88222511951327	192.88222511951327
Eye	PV-containing retinal ganglion cells	742	195.9946091644205	195.9946091644205
Eye	Naive retinal progenitor cells	22496	198.40007112375534	198.40007112375534
Eye	Iris pigment epithelium	236	205.04237288135593	205.04237288135593
Eye	Retinal progenitor cells	4757	206.32835820895522	206.32835820895522
Eye	Horizontal cells	471	208.59872611464968	208.59872611464968
Eye	Amacrine/Horizontal precursor cells	2320	211.83362068965516	211.83362068965516
Eye	Cone precursor cells	2793	215.59183673469389	215.59183673469389
Eye	Cholinergic amacrine cells	580	229.10689655172413	229.10689655172413
Eye	Bipolar precursor cells	1105	230.51945701357465	230.51945701357465
Eye	Photoreceptor precursor cells	1540	235.05974025974027	235.05974025974027
Eye	Amacrine cells	2609	239.25028746646225	239.25028746646223
Eye	Rod precursor cells	467	249.7901498929336	249.7901498929336
Gastrulation	Epiblast	11315	11.864781263809103	11.864781263809103
