index	system	celltype_new	n_cells	mean_scanpy	pct_scanpy_pos
60	Brain_spinal_cord	Oligodendrocyte progenitor cells	29522.0	-0.09464206308633216	0.2725425106700088
61	Brain_spinal_cord	Posterior roof plate	11623.0	0.008710391432497314	0.42441710401789556
62	Brain_spinal_cord	Precerebellar neurons	1286.0	0.030549737824993223	0.22628304821150855
63	Brain_spinal_cord	Spinal V0 interneurons	9397.0	0.07438667238534591	0.2919016707459828
64	Brain_spinal_cord	Spinal V1 interneurons	31325.0	0.1639040432265541	0.3656185155626496
65	Brain_spinal_cord	Spinal V2a interneurons	11065.0	0.09536534576291043	0.31116131947582465
66	Brain_spinal_cord	Spinal V2b interneurons	8575.0	0.050996352592223584	0.24606413994169096
67	Brain_spinal_cord	Spinal V3 interneurons	4440.0	0.20547928975473295	0.4806306306306306
68	Brain_spinal_cord	Spinal cord dorsal progenitors (after E13.0)	8358.0	-0.11791970612615398	0.14465183058147882
69	Brain_spinal_cord	Spinal cord motor neurons	31680.0	0.08793872169590859	0.3326073232323232
70	Brain_spinal_cord	Spinal cord ventral progenitors (after E13.0)	2021.0	-0.0023262114326650708	0.34438396833250867
71	Brain_spinal_cord	Spinal cord/r7/r8	395636.0	0.13668909069339094	0.5118897168104015
72	Brain_spinal_cord	Spinal dI1 interneurons	35714.0	0.0036956946854629557	0.16926135409083273
73	Brain_spinal_cord	Spinal dI2 interneurons	21843.0	0.019252645718816505	0.19603534313052237
74	Brain_spinal_cord	Spinal dI3 interneurons	5430.0	0.030232349641488476	0.24493554327808473
75	Brain_spinal_cord	Spinal dI4 interneurons	38632.0	0.016441386876626645	0.1745703044108511
76	Brain_spinal_cord	Spinal dI5 interneurons	39157.0	0.039096206552668496	0.2293842735653906
77	Brain_spinal_cord	Spinal dI6 interneurons	10964.0	0.0479311992156452	0.26213060926669096
78	Brain_spinal_cord	Striatal projection neurons	6235.0	-0.018424671146456045	0.17145148356054532
79	Brain_spinal_cord	Subplate neurons	103397.0	-0.04417862325896473	0.09188854608934495
80	Brain_spinal_cord	Telencephalon	430409.0	-0.10010949389611062	0.2724199540437119
81	Brain_spinal_cord	Thalamic neuronal precursors	81788.0	-0.22215503612829549	0.12743923313933583
82	Brain_spinal_cord	Upper-layer neurons	238829.0	-0.049014933991142054	0.05166039300084998
83	Endothelium	Arterial endothelial cells	26943.0	0.020207429499764736	0.31284563708569946
84	Endothelium	Brain capillary endothelial cells	15179.0	-0.04167092499833078	0.202911917781145
85	Endothelium	Brain pericytes	3617.0	-0.06647698534753353	0.23583079900470003
86	Endothelium	Endocardial cells	14071.0	-0.010369819704918617	0.26344964821263595
87	Endothelium	Endothelium	90215.0	-0.0011204762219409268	0.2831679875852131
88	Endothelium	Glomerular endothelial cells	17038.0	0.02501672384573987	0.2205071017725085
89	Endothelium	Hematoendothelial progenitors	9693.0	0.016676295180404206	0.3801712576085835
90	Endothelium	Liver sinusoidal endothelial cells	30802.0	-0.031724607016574126	0.14911369391597948
91	Endothelium	Lymphatic vessel endothelial cells	25269.0	0.02544619878554578	0.27472397008191857
92	Endothelium	Microvascular endothelial cells	5624.0	-0.025931776510547157	0.16963015647226173
93	Endothelium	Pericytes	14055.0	0.1055929347471341	0.41551049448594807
94	Endothelium	Venous and capillary endothelial cells	59523.0	-0.03598953609690352	0.15446130067368916
95	Epithelial_cells	Amniotic ectoderm	11509.0	-0.1423650429054219	0.2656182118342167
96	Epithelial_cells	Apical ectodermal ridge	6330.0	-0.1930162340288981	0.24123222748815165
97	Epithelial_cells	Basal keratinocytes	19591.0	0.2497290387812904	0.5400438977081313
98	Epithelial_cells	Bladder urothelial cells	1313.0	-0.23904358792135516	0.09063214013709063
99	Epithelial_cells	Branchial arch epithelium	41134.0	-0.0753203284187206	0.28818009432586184
100	Epithelial_cells	Cochlear hair cells	574.0	-0.24697557709219842	0.09059233449477352
101	Epithelial_cells	Conjunctival goblet cells	1244.0	-0.23667551038700924	0.06913183279742766
102	Epithelial_cells	Corneal epithelial cells	1078.0	-0.186413643679725	0.07142857142857142
103	Epithelial_cells	Dental epithelial cells	9903.0	0.24085278249725064	0.5888114712713319
104	Epithelial_cells	Granular keratinocytes	41185.0	-0.19885046248556384	0.1571931528469103
105	Epithelial_cells	Lens epithelial cells	1605.0	-0.1348393030580083	0.22305295950155762
106	Epithelial_cells	Nonsensory cochlear epithelium	51.0	-0.21350412639917113	0.11764705882352941
107	Epithelial_cells	Olfactory bulb cells	5888.0	-0.271035894687436	0.09239130434782608
108	Epithelial_cells	Olfactory epithelial cells	33331.0	-0.22869868672645266	0.17071194983648855
109	Epithelial_cells	Olfactory pit cells	2081.0	-0.0854449206935315	0.36136472849591544
110	Epithelial_cells	Otic epithelial cells	29337.0	-0.16179732335423644	0.26147867880151343
111	Epithelial_cells	Parathyroid epithelial cells	433.0	-0.03170646922968277	0.3418013856812933
112	Epithelial_cells	Pineal gland	540.0	-0.20569282895841717	0.07777777777777778
113	Epithelial_cells	Pituitary gland cells	4964.0	-0.14307368470541482	0.23489121676067687
114	Epithelial_cells	Pituitary/Pineal gland progenitors	2797.0	0.12038361370201234	0.5244905255631033
115	Epithelial_cells	Placodal area	60938.0	0.05725803110854207	0.4498178476484295
116	Epithelial_cells	Pre-epidermal keratinocytes	114402.0	-0.07659483754141218	0.31974965472631595
117	Epithelial_cells	Primordial germ cells	1712.0	-0.22282356887777274	0.19217289719626168
118	Epithelial_cells	Thymic epithelial cells	1937.0	-0.16880058669547496	0.20030975735673723
119	Epithelial_cells	Thyroid gland cells	1578.0	-0.14318349521322293	0.20405576679340937
120	Epithelial_cells	Tooth junctional epithelium	2918.0	-0.2653369450721671	0.04215215901302262
121	Eye	Amacrine cells	10061.0	-0.17367338222351936	0.08438524997515158
122	Eye	Amacrine/Horizontal precursor cells	5154.0	-0.14527016841660587	0.10205665502522313
123	Eye	Bipolar precursor cells	3414.0	-0.19466549690429458	0.1411833626244874
124	Eye	Cholinergic amacrine cells	1426.0	-0.1618202207856448	0.1718092566619916
125	Eye	Ciliary margin cells	725.0	-0.13096618119711165	0.24551724137931036
126	Eye	Cone precursor cells	5744.0	-0.15376634358328975	0.12029944289693593
127	Eye	Eye field	43440.0	-0.044068017516831745	0.3675644567219153
128	Eye	Horizontal cells	910.0	-0.18070038262260701	0.14615384615384616
129	Eye	Iris pigment epithelium	592.0	-0.13066180139511555	0.2483108108108108
130	Eye	Naive retinal progenitor cells	52693.0	0.2065259274225056	0.48471333953276524
131	Eye	Optic stalk	3457.0	0.042055498125835665	0.48221000867804453
132	Eye	PV-containing retinal ganglion cells	1133.0	-0.2746802108825814	0.08384819064430715
133	Eye	Photoreceptor precursor cells	4703.0	-0.131390885178292	0.10525196682968319
134	Eye	Retinal ganglion cells	11197.0	-0.23439235357692267	0.10609984817361794
135	Eye	Retinal pigment cells	3242.0	-0.08294851509063253	0.30475015422578655
136	Eye	Retinal progenitor cells	10201.0	-0.09023356118350388	0.21733163415351436
137	Eye	Rod precursor cells	2743.0	-0.11745359726180454	0.09624498724024791
138	Eye	Suprachiasmatic nucleus	6017.0	0.03922320506571535	0.34036895462855243
139	Gastrulation	Allantois	1820.0	-0.006811033954388411	0.29505494505494506
140	Gastrulation	Anterior Primitive Streak	1158.0	-0.040376619646806215	0.14248704663212436
141	Gastrulation	Blood progenitors 1	745.0	-0.03694437975256298	0.16644295302013423
142	Gastrulation	Blood progenitors 2	2587.0	-0.03362605803766512	0.16003092385001932
