system	celltype_new	total_cells	age_mean
Mesoderm	Adipocyte progenitor cells	19151	34.963605033679706
Mesoderm	Brown adipocyte cells	42631	41.015528605944034
Mesoderm	Chondrocytes (Atp1a2+)	97338	23.033676467566618
Mesoderm	Chondrocytes (Otor+)	6521	35.58503297040331
Mesoderm	Dermatome	159301	26.88259332960873
Mesoderm	Dermomyotome	131041	8.742912523561326
Mesoderm	Early chondrocytes	130217	24.171982152867898
Mesoderm	Facial mesenchyme	378403	12.041289313245409
Mesoderm	Fibroblasts	473634	29.335898605252147
Mesoderm	Mesodermal progenitors (Tbx6+)	50325	5.868375558867362
Mesoderm	Muscle progenitor cells	26992	14.867997925311203
Mesoderm	Muscle progenitor cells (Prdm1+)	5017	10.228224038269882
Mesoderm	Myoblasts	149216	28.45436146257774
Mesoderm	Myofibroblasts	39998	28.426821341067054
Mesoderm	Myotubes	22340	32.48491495076097
Mesoderm	Pre-osteoblasts (Sp7+)	86242	36.04897845597273
Mesoderm	Sclerotome	475696	11.561448908546625
Lateral_plate_mesoderm	Adrenocortical cells	2148	36.0512104283054
Lateral_plate_mesoderm	Airway smooth muscle cells	4926	36.18229801055623
Lateral_plate_mesoderm	Allantois	31010	7.087294421154467
Lateral_plate_mesoderm	Amniotic mesoderm	25231	10.97237525266537
Lateral_plate_mesoderm	Atrial cardiomyocytes	1005	30.97313432835821
Lateral_plate_mesoderm	Cardiopharyngeal mesoderm	19277	7.512320381802147
Lateral_plate_mesoderm	Extraembryonic mesoderm	57523	5.6804408671314075
Lateral_plate_mesoderm	First heart field	28638	7.737237237237238
Lateral_plate_mesoderm	Foregut mesenchyme	17976	10.387572318647086
Lateral_plate_mesoderm	Gastrointestinal smooth muscle cells	7825	35.00038338658147
Lateral_plate_mesoderm	Gonad progenitor cells	4229	15.92504138094112
Lateral_plate_mesoderm	Granulosa cells	76	38.63157894736842
Lateral_plate_mesoderm	Gut mesenchyme	56937	16.55085445316754
Lateral_plate_mesoderm	Hepatic mesenchyme	24510	19.773684210526312
Lateral_plate_mesoderm	Leydig cells	245	34.84897959183674
Lateral_plate_mesoderm	Limb mesenchyme progenitors	222702	14.344253756140496
Lateral_plate_mesoderm	Lung mesenchyme	60258	32.032360848352084
Lateral_plate_mesoderm	Meninges	5063	24.542958720126407
Lateral_plate_mesoderm	Mesothelial cells	37131	26.27898521451079
Lateral_plate_mesoderm	Proepicardium	9451	13.22304518040419
Lateral_plate_mesoderm	Renal stromal cells	12270	35.42053789731052
Lateral_plate_mesoderm	Second heart field	3537	6.107152954481199
Lateral_plate_mesoderm	Sertoli cells	1220	32.34508196721311
Lateral_plate_mesoderm	Somatic mesoderm	126739	7.982696723187019
Lateral_plate_mesoderm	Splanchnic mesoderm	123694	13.624104645334453
Lateral_plate_mesoderm	Vascular smooth muscle cells	15949	33.31976926453069
Lateral_plate_mesoderm	Vascular smooth muscle cells (Pparg+)	7384	37.691495124593715
Lateral_plate_mesoderm	Ventricular cardiomyocytes	2215	37.02483069977426
PNS_neurons	Corticofugal neurons	1413	34.89101203113942
PNS_neurons	Dorsal root ganglion neurons	9289	28.694046721929162
PNS_neurons	Enteric neurons	4640	11.762715517241379
PNS_neurons	Neural crest (PNS neurons)	50974	13.877251147643896
PNS_neurons	Olfactory sensory neurons	20964	29.828038542262927
PNS_neurons	Otic sensory neurons	7640	14.053403141361256
PNS_neurons	Parasympathetic neurons	5261	32.08154343280745
PNS_neurons	Sympathetic neurons	12782	28.83304647160069
PNS_glia	Melanocyte cells	2274	27.273526824978013
PNS_glia	Myelinating Schwann cells	28658	25.13629702002931
PNS_glia	Myelinating Schwann cells (Tgfb2+)	5617	25.415168239273633
PNS_glia	Neural crest (PNS glia)	69628	9.652682828747057
PNS_glia	Olfactory ensheathing cells	1991	34.24510296333501
PNS_glia	Satellite glial cells	4304	31.672165427509295
Brain_spinal_cord	Cortical Interneurons (Prox1+)	2800	35.29714285714286
Brain_spinal_cord	Cranial motor neurons	20964	15.441900400686892
Brain_spinal_cord	Deep-layer neurons	164552	29.526113325878747
Brain_spinal_cord	Di/mesencephalon GABAergic neurons	15589	15.46782988004362
Brain_spinal_cord	Di/mesencephalon glutamatergic neurons	30999	14.63263331075196
Brain_spinal_cord	GABAergic cortical interneurons	380281	28.594389412040037
Brain_spinal_cord	GABAergic neurons (after E13.0)	205268	29.148284194321576
Brain_spinal_cord	Glutamatergic neurons (after E13.0)	372925	29.548930750150845
Brain_spinal_cord	Hypothalamic Sim1 neurons	19592	14.546345447121274
Brain_spinal_cord	Midbrain dopaminergic neurons	5495	15.634576888080073
Brain_spinal_cord	Neurons (Slc17a8+)	1938	17.978328173374614
Brain_spinal_cord	Precerebellar neurons	1286	15.754276827371696
Brain_spinal_cord	Spinal V0 interneurons	9397	13.055230392678514
Brain_spinal_cord	Spinal V1 interneurons	31325	12.807214684756584
Brain_spinal_cord	Spinal V2a interneurons	11065	13.321825576140984
Brain_spinal_cord	Spinal V2b interneurons	8575	14.195102040816327
Brain_spinal_cord	Spinal V3 interneurons	4440	13.687837837837838
Brain_spinal_cord	Spinal cord motor neurons	31602	11.769001961901145
Brain_spinal_cord	Spinal dI1 interneurons	35714	13.616284930279443
Brain_spinal_cord	Spinal dI2 interneurons	21843	13.045323444581788
Brain_spinal_cord	Spinal dI3 interneurons	5430	14.864456721915285
Brain_spinal_cord	Spinal dI4 interneurons	38632	15.515013460343758
Brain_spinal_cord	Spinal dI5 interneurons	39157	14.471103506397323
Brain_spinal_cord	Spinal dI6 interneurons	10964	14.303903684786574
Brain_spinal_cord	Striatal projection neurons	6235	9.706335204490777
Brain_spinal_cord	Subplate neurons	35716	38.0497816104827
Brain_spinal_cord	Upper-layer neurons	96626	36.76237244633949
Brain_spinal_cord	Anterior floor plate	16234	12.310582727608724
Brain_spinal_cord	Anterior roof plate	16080	8.603047263681592
Brain_spinal_cord	Astrocytes	52629	32.779000171008384
Brain_spinal_cord	Cajal-Retzius cells	67799	23.989881856664553
Brain_spinal_cord	Cerebellar Purkinje cells	21825	24.96898052691867
Brain_spinal_cord	Cerebellum-related cells	4226	35.50970184571699
Brain_spinal_cord	Choroid plexus	7264	24.31525330396476
Brain_spinal_cord	Committed oligodendrocyte precursors	512	39.498046875
Brain_spinal_cord	Diencephalon	77273	12.980601244936784
Brain_spinal_cord	Dorsal telencephalon	29378	14.87412349377085
Brain_spinal_cord	Ependymal cells	2872	37.866991643454035
Brain_spinal_cord	Floorplate and p3 domain	44899	9.24298982159959
Brain_spinal_cord	Hindbrain	196381	10.785569887107199
Brain_spinal_cord	Hypothalamus	52884	13.195049542394676
Brain_spinal_cord	Hypothalamus (Sim1+)	14571	10.527280214123945
Brain_spinal_cord	Intermediate neuronal progenitors	37282	25.44579153478891
Brain_spinal_cord	Midbrain	143471	14.921614821113671
Brain_spinal_cord	Midbrain-hindbrain boundary	66056	7.778506116022768
Brain_spinal_cord	Multiciliated ependymal cells	4451	36.398786789485506
Brain_spinal_cord	NMPs and spinal cord progenitors	53719	5.563562240548037
Brain_spinal_cord	Neural progenitor cells (Neurod1+)	23099	14.219490021213039
Brain_spinal_cord	Neural progenitor cells (Ror1+)	12037	37.714463736811496
Brain_spinal_cord	Oligodendrocyte progenitor cells	10900	37.43284403669725
Brain_spinal_cord	Posterior roof plate	11564	8.931771013490142
Brain_spinal_cord	Spinal cord dorsal progenitors (after E13.0)	8087	22.59193767775442
Brain_spinal_cord	Spinal cord ventral progenitors (after E13.0)	1965	22.713994910941476
Brain_spinal_cord	Spinal cord/r7/r8	395141	10.183443378439586
Brain_spinal_cord	Telencephalon	413590	18.602492806886037
Brain_spinal_cord	Thalamic neuronal precursors	57266	29.11280690112807
