system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,median_x,sh_x,q90_x,frac>0_x,variance_x,std_x,n_y,median_y,sh_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Mesoderm,M_M18,M_M10,Sclerotome,Fibroblasts,Developmental progression,273,265,221,92,476671,0.436617282231649,0.6526424508802657,4.003704115549724,0.5180722133295291,4.864322045534805,2.205520810496878,648059,-1.2618437480926514,-0.7095993860954023,1.6755601030985514,0.252202345774073,3.016363391145686,1.7367680878993852,1.362242,-1.362242,-0.6863,-208.73,208.73
Mesoderm,M_M10,M_M17,Fibroblasts,Pre-osteoblasts (Sp7+),Developmental progression,265,272,92,206,648059,-1.2618437480926514,-0.7095993860954023,1.6755601030985514,0.252202345774073,3.016363391145686,1.7367680878993852,135893,0.1234938653310142,0.5502374332561616,3.521309541066488,0.5132714709366928,4.180512072953634,2.0446300577252683,1.259837,1.259837,0.6641,-177.54,177.54
Mesoderm,M_M18,M_M4,Sclerotome,Chondrocytes (Atp1a2+),Developmental progression,273,276,221,49,476671,0.436617282231649,0.6526424508802657,4.003704115549724,0.5180722133295291,4.864322045534805,2.205520810496878,118412,-0.9811549377441406,-0.3326938021615372,2.0142829726537115,0.372901395128872,3.052114673787004,1.7470302440962504,0.985336,-0.985336,-0.4953,-150.98,150.98
Mesoderm,M_M7,M_M14,Dermomyotome,Myoblasts,Developmental progression,279,269,73,159,131048,-0.6276741949717204,0.2374522015060806,2.618999627431234,0.4549249130089738,3.4088558684758867,1.8463087142934376,185751,-1.1272636731465655,-0.7078852792387771,1.3605221462249757,0.2164833567517806,2.013377082018483,1.4189351930297884,0.945337,-0.945337,-0.5741,-398.12,398.12
Mesoderm,M_M13,M_M15,Muscle progenitor cells (Prdm1+),Myofibroblasts,Developmental progression,268,270,156,160,5017,-1.1176567236582438,-0.6091661625663732,1.2099377924601242,0.3404424955152481,2.002571248890328,1.415122344142134,43951,-1.7014401880900063,-1.539235015949223,-0.2146420351664222,0.0776091556506109,0.863149889652689,0.9290586039926056,0.930069,-0.930069,-0.777,152.68,152.68
Mesoderm,M_M12,M_M14,Muscle progenitor cells,Myoblasts,Developmental progression,267,269,155,159,27017,-0.9191191291809082,0.0665861303729735,3.259141925811768,0.4394270274271755,4.1475854281133,2.036562159157756,185751,-1.1272636731465655,-0.7078852792387771,1.3605221462249757,0.2164833567517806,2.013377082018483,1.4189351930297884,0.774471,-0.774471,-0.4413,-1163.11,1163.11
Mesoderm,M_M12,M_M13,Muscle progenitor cells,Muscle progenitor cells (Prdm1+),Developmental progression,267,268,155,156,27017,-0.9191191291809082,0.0665861303729735,3.259141925811768,0.4394270274271755,4.1475854281133,2.036562159157756,5017,-1.1176567236582438,-0.6091661625663732,1.2099377924601242,0.3404424955152481,2.002571248890328,1.415122344142134,0.675752,-0.675752,-0.3854,-1014.85,1014.85
Mesoderm,M_M4,M_M5,Chondrocytes (Atp1a2+),Chondrocytes (Otor+),Developmental progression,276,277,49,50,118412,-0.9811549377441406,-0.3326938021615372,2.0142829726537115,0.372901395128872,3.052114673787004,1.7470302440962504,12063,-1.2391100947062177,-0.8582918655488586,1.1816428941090908,0.1936500041449059,2.040810140556757,1.4285692634789386,0.525598,-0.525598,-0.3294,157.98,157.98
Mesoderm,M_M11,M_M7,Mesodermal progenitors (Tbx6+),Dermomyotome,Developmental progression,266,279,142,73,50325,0.918773701985677,0.6436297348487375,2.5515685005187985,0.5878589170392449,2.6504424044574786,1.6280179373881232,131048,-0.6276741949717204,0.2374522015060806,2.618999627431234,0.4549249130089738,3.4088558684758867,1.8463087142934376,0.406178,-0.406178,-0.2334,-63.11,63.11
Mesoderm,M_M11,M_M9,Mesodermal progenitors (Tbx6+),Facial mesenchyme,Developmental progression,266,281,142,91,50325,0.918773701985677,0.6436297348487375,2.5515685005187985,0.5878589170392449,2.6504424044574786,1.6280179373881232,382752,-0.4894251124064128,0.3367538838464042,2.8528182442983008,0.4446691330156341,3.616362324661232,1.901673558911001,0.306876,-0.306876,-0.1734,-47.68,47.68
Mesoderm,M_M7,M_M6,Dermomyotome,Dermatome,Developmental progression,279,278,73,72,131048,-0.6276741949717204,0.2374522015060806,2.618999627431234,0.4549249130089738,3.4088558684758867,1.8463087142934376,198888,-1.0485709031422934,-0.0337512587733771,3.55311291440328,0.3840251800008045,5.194158258940903,2.279069603794694,0.271203,-0.271203,-0.1308,-114.21,114.21
Mesoderm,M_M14,M_M16,Myoblasts,Myotubes,Developmental progression,269,271,159,161,185751,-1.1272636731465655,-0.7078852792387771,1.3605221462249757,0.2164833567517806,2.013377082018483,1.4189351930297884,43267,-1.047698974609375,-0.972918167712761,0.0877030963897704,0.1038435759354704,1.0640919540434275,1.031548328505954,0.265033,-0.265033,-0.2137,37.44,37.44
Mesoderm,M_M9,M_M17,Facial mesenchyme,Pre-osteoblasts (Sp7+),Developmental progression,281,272,91,206,382752,-0.4894251124064128,0.3367538838464042,2.8528182442983008,0.4446691330156341,3.616362324661232,1.901673558911001,135893,0.1234938653310142,0.5502374332561616,3.521309541066488,0.5132714709366928,4.180512072953634,2.0446300577252683,0.213484,0.213484,0.1081,63.39,63.39
Mesoderm,M_M9,M_M8,Facial mesenchyme,Early chondrocytes,Developmental progression,281,280,91,80,382752,-0.4894251124064128,0.3367538838464042,2.8528182442983008,0.4446691330156341,3.616362324661232,1.901673558911001,144311,0.4332068729400635,0.5301475013045824,3.6266023349761967,0.5336252953690294,4.243726810136798,2.0600307789294794,0.193394,0.193394,0.0976,57.43,57.43
Mesoderm,M_M7,M_M12,Dermomyotome,Muscle progenitor cells,Developmental progression,279,267,73,155,131048,-0.6276741949717204,0.2374522015060806,2.618999627431234,0.4549249130089738,3.4088558684758867,1.8463087142934376,27017,-0.9191191291809082,0.0665861303729735,3.259141925811768,0.4394270274271755,4.1475854281133,2.036562159157756,0.170866,-0.170866,-0.0879,-71.96,71.96
Mesoderm,M_M10,M_M2,Fibroblasts,Adipocyte progenitor cells,Developmental progression,265,274,92,7,648059,-1.2618437480926514,-0.7095993860954023,1.6755601030985514,0.252202345774073,3.016363391145686,1.7367680878993852,19823,-1.1424480374654131,-0.8528514466374468,0.9311278737386062,0.1857942793724461,1.1145289462386725,1.0557125301135115,0.143252,-0.143252,-0.0997,20.19,20.19
Mesoderm,M_M2,M_M3,Adipocyte progenitor cells,Brown adipocyte cells,Developmental progression,274,275,7,41,19823,-1.1424480374654131,-0.8528514466374468,0.9311278737386062,0.1857942793724461,1.1145289462386725,1.0557125301135115,80279,-1.0926702308654783,-0.9817151666580404,-0.5380255737304692,0.0691338955393066,0.4640273657987908,0.6811955415288556,0.128864,-0.128864,-0.145,15.11,15.11
Mesoderm,M_M2,M_M1,Adipocyte progenitor cells,Adipocyte cells (Cyp2e1+),Developmental progression,274,264,7,6,19823,-1.1424480374654131,-0.8528514466374468,0.9311278737386062,0.1857942793724461,1.1145289462386725,1.0557125301135115,14376,-1.1458143234252929,-0.9814845517996932,0.1101828320821126,0.1023928770172509,0.6710396022774593,0.8191700692026408,0.128633,-0.128633,-0.1361,15.08,15.08
Mesoderm,M_M18,M_M8,Sclerotome,Early chondrocytes,Developmental progression,273,280,221,80,476671,0.436617282231649,0.6526424508802657,4.003704115549724,0.5180722133295291,4.864322045534805,2.205520810496878,144311,0.4332068729400635,0.5301475013045824,3.6266023349761967,0.5336252953690294,4.243726810136798,2.0600307789294794,0.122495,-0.122495,-0.0574,-18.77,18.77
