celltype_new,SHH_UCell_score
Anterior intermediate mesoderm,0.0
Ascending loop of Henle,0.0
Collecting duct intercalated cells,0.0
Collecting duct principal cells,0.0
Connecting tubule,0.0
Distal convoluted tubule,0.0
Metanephric mesenchyme,0.0
Nephron progenitors,0.0
Podocytes,0.0
Posterior intermediate mesoderm,0.0
Proximal tubule cells,0.0
Renal pericytes and mesangial cells,0.0
Ureteric bud,0.0
Ureteric bud stalk,0.0
