system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d
Gut,G_M8,G_M14,Gut,Midgut/Hindgut epithelial cells,Developmental progression,123,114,108,150,21287,0.3790184085264687,0.4118598143259684,0.9059419358571372,0.7200638887583971,0.1833342921546535,0.4281755389494518,47855,-0.0781814835456846,-0.1428548940022786,0.2283883768717447,0.1704733047748406,0.0408777364793705,0.202182433656761,0.4571998920721533,-0.4571998920721533,-1.3654998695098142
Gut,G_M13,G_M4,Lung progenitor cells,Alveolar Type 2 cells,Developmental progression,113,119,135,15,28988,0.1907565196976562,0.1774877190589904,0.66360733350118,0.557886021802125,0.1280401079380088,0.3578269245571228,21443,-0.0372506995427487,-0.1031454404195149,0.3013080085118611,0.1185934803898708,0.051823809621697,0.227648434261466,0.2280072192404049,-0.2280072192404049,-0.7603115213842772
Gut,G_M13,G_M3,Lung progenitor cells,Alveolar Type 1 cells,Developmental progression,113,118,135,14,28988,0.1907565196976562,0.1774877190589904,0.66360733350118,0.557886021802125,0.1280401079380088,0.3578269245571228,14321,0.0117099682790253,-0.1071856689453125,0.4961523183186849,0.2454437539277983,0.0775939410472694,0.2785568901450284,0.1790465514186309,-0.1790465514186309,-0.5583846164353323
Gut,G_M8,G_M9,Gut,Hepatocytes,Developmental progression,123,124,108,114,21287,0.3790184085264687,0.4118598143259684,0.9059419358571372,0.7200638887583971,0.1833342921546535,0.4281755389494518,289569,-0.0261198686920464,-0.1155482228597005,0.3489141162236532,0.2392106889894981,0.0547823632348763,0.2340563249196149,0.4051382772185151,-0.4051382772185151,-1.1741494741625058
Gut,G_M13,G_M1,Lung progenitor cells,Airway club cells,Developmental progression,113,109,135,10,28988,0.1907565196976562,0.1774877190589904,0.66360733350118,0.557886021802125,0.1280401079380088,0.3578269245571228,6264,-0.0206493336880851,-0.1126701164245605,0.4217642838160195,0.1837484035759898,0.0655397734472827,0.2560073699081391,0.2114058533857413,-0.2114058533857413,-0.6795194560064579
Gut,G_M8,G_M13,Gut,Lung progenitor cells,Developmental progression,123,113,108,135,21287,0.3790184085264687,0.4118598143259684,0.9059419358571372,0.7200638887583971,0.1833342921546535,0.4281755389494518,28988,0.1907565196976562,0.1774877190589904,0.66360733350118,0.557886021802125,0.1280401079380088,0.3578269245571228,0.18826188882881248,-0.18826188882881248,-0.4771291578714746
Gut,G_M8,G_M7,Gut,Foregut epithelial cells,Developmental progression,123,122,108,97,21287,0.3790184085264687,0.4118598143259684,0.9059419358571372,0.7200638887583971,0.1833342921546535,0.4281755389494518,6962,-0.0524685263908835,-0.1487941551208496,0.3594621566136678,0.2278081011203677,0.0625815925115927,0.2501631317992177,0.4314869349173522,-0.4314869349173522,-1.2305219266092797
Gut,G_M14,G_M11,Midgut/Hindgut epithelial cells,Intestinal goblet cells,Developmental progression,114,111,150,125,47855,-0.0781814835456846,-0.1428548940022786,0.2283883768717447,0.1704733047748406,0.0408777364793705,0.202182433656761,1745,-0.0847862749814759,-0.1387764231363932,0.1837966718673706,0.1444126074498567,0.0375042389607728,0.1936601119507392,0.006604791435791291,-0.006604791435791291,-0.033363069765911704
Gut,G_M9,G_M5,Hepatocytes,Biliary epithelial cells,Developmental progression,124,120,114,32,289569,-0.0261198686920464,-0.1155482228597005,0.3489141162236532,0.2392106889894981,0.0547823632348763,0.2340563249196149,1742,-0.0180251066973507,-0.1273464075724283,0.3969021735191347,0.2715269804822043,0.0713944094111204,0.2671973229864408,0.0080947619946957,0.0080947619946957,0.032227704612927476
Gut,G_M3,G_M12,Alveolar Type 1 cells,Lung cells (Eln+),Developmental progression,118,112,14,133,14321,0.0117099682790253,-0.1071856689453125,0.4961523183186849,0.2454437539277983,0.0775939410472694,0.2785568901450284,5308,0.1015141486627496,-0.1001977666219075,0.6747725350062054,0.3992087415222305,0.1464616849640688,0.3827031290230965,0.0898041803837243,0.0898041803837243,0.26830800163140456
Gut,G_M1,G_M2,Airway club cells,Airway goblet cells,Developmental progression,109,117,10,11,6264,-0.0206493336880851,-0.1126701164245605,0.4217642838160195,0.1837484035759898,0.0655397734472827,0.2560073699081391,408,-0.0712478585356201,-0.1437026087443034,0.2743853178024292,0.1740196078431372,0.0438057542851647,0.2092982424320967,0.050598524847535,-0.050598524847535,-0.21639755072054037
Gut,G_M8,G_M15,Gut,Pancreatic acinar cells,Developmental progression,123,115,108,188,21287,0.3790184085264687,0.4118598143259684,0.9059419358571372,0.7200638887583971,0.1833342921546535,0.4281755389494518,3747,0.018632283508539,-0.1273501841227213,0.4777397632598877,0.3482786228983187,0.0908625648633029,0.301434179985122,0.36038612501792966,-0.36038612501792966,-0.9733114306438291
Gut,G_M8,G_M5,Gut,Biliary epithelial cells,Developmental progression,123,120,108,32,21287,0.3790184085264687,0.4118598143259684,0.9059419358571372,0.7200638887583971,0.1833342921546535,0.4281755389494518,1742,-0.0180251066973507,-0.1273464075724283,0.3969021735191347,0.2715269804822043,0.0713944094111204,0.2671973229864408,0.39704351522381937,-0.39704351522381937,-1.1125362334484408
Gut,G_M13,G_M2,Lung progenitor cells,Airway goblet cells,Developmental progression,113,117,135,11,28988,0.1907565196976562,0.1774877190589904,0.66360733350118,0.557886021802125,0.1280401079380088,0.3578269245571228,408,-0.0712478585356201,-0.1437026087443034,0.2743853178024292,0.1740196078431372,0.0438057542851647,0.2092982424320967,0.26200437823327627,-0.26200437823327627,-0.8938281060939757
Gut,G_M8,G_M16,Gut,Pancreatic islets,Developmental progression,123,116,108,189,21287,0.3790184085264687,0.4118598143259684,0.9059419358571372,0.7200638887583971,0.1833342921546535,0.4281755389494518,1323,-0.0188888893087795,-0.1270985158284505,0.3931598180135091,0.2683295540438397,0.0623164255065071,0.2496325810195999,0.3979072978352482,-0.3979072978352482,-1.1353712260728004
Gut,G_M14,G_M10,Midgut/Hindgut epithelial cells,Intestinal enteroendocrine cells,Developmental progression,114,110,150,124,47855,-0.0781814835456846,-0.1428548940022786,0.2283883768717447,0.1704733047748406,0.0408777364793705,0.202182433656761,536,-0.0755823789796426,-0.1370371437072753,0.2082798147201538,0.1529850746268656,0.0436401179658877,0.2089021731957035,0.00259910456604201,0.00259910456604201,0.012643418640015964
