celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Corticofugal neurons,2807,-0.06122616711711532,-0.10063218434651693,0.03701308854421019,0.10153188457427859,0.025713505359547858,0.16035431194560332
Dorsal root ganglion neurons,13077,-0.0538522522188048,-0.12277568817138672,0.19880200990041094,0.2726925135734496,0.031579861668649144,0.1777072358364992
Enteric neurons,4787,0.004819703174163668,-0.10727077484130859,0.3990885855356854,0.2822226864424483,0.06138432122158798,0.24775859464726543
Neural crest (PNS neurons),51569,0.01611797555387542,-0.10704574584960938,0.4198524449666343,0.30006399193313815,0.0667198021129415,0.2583017656016728
Olfactory sensory neurons,40019,-0.03972009384424686,-0.10033679962158203,0.25702256457010936,0.14423149004222993,0.03808937705218748,0.1951649995572656
Otic sensory neurons,7844,0.04074445814963164,-0.09663461685180663,0.4802817918459574,0.297679755226925,0.07840962082144036,0.2800171795112585
Parasympathetic neurons,8353,0.003181048431392298,-0.09672555287679037,0.3618357702891032,0.2752304561235484,0.05037711962283858,0.22444847877149574
Sympathetic neurons,18369,0.025321999422481575,-0.09712689717610677,0.4286307506561281,0.31640263487397247,0.06595040977171185,0.25680811858606
