system,node_id,node_name,n_cells,median,mean_scanpy,q90,pct_scanpy,variance,std
Blood,B_M8,Definitive early erythroblasts (CD36-),929291.0,-0.0448514080047607,0.0159490046732279,0.3454750474294027,0.1588867211669972,0.0410108856370428,0.2025114456939233
Blood,B_M11,Hematopoietic stem cells (Cd34+),37750.0,-0.095818395614624,-0.021665549749107,0.3134579642613728,0.1881059602649006,0.0413378035918838,0.2033170027122272
Blood,B_M19,Monocytic myeloid-derived suppressor cells,24741.0,-0.081294085184733,-0.0684136497151592,-0.027624880472819,0.0280910229982619,0.0106165934386326,0.1030368547590263
Blood,B_M25,Regulatory T cells,9800.0,-0.0859500376383463,0.0008719443543427,0.4043833317756653,0.1859183673469387,0.0555656378831123,0.2357236472717837
Blood,B_M26,T cells,70028.0,-0.0796690781911214,-0.0222611683199682,0.2223465693791708,0.1101702176272348,0.0427364730688886,0.2067280171357734
Blood,B_M15,Megakaryocyte-erythroid progenitors,13436.0,-0.0950595347086588,0.0170045965121203,0.398443210919698,0.299866031557011,0.0557985721985432,0.2362172140182489
Blood,B_M5,Border-associated macrophages,65191.0,-0.0711910947163899,-0.0428894282681379,-0.0174603160222371,0.0577993894862787,0.0216704989814881,0.1472090315893972
Blood,B_M12,Hematopoietic stem cells (Mpo+),23128.0,-0.0980870374043782,-0.0502673521867971,0.1641172793706257,0.1337340020754064,0.0277914387328579,0.1667076444943602
Blood,B_M3,B cell progenitors,1295.0,-0.0712039311726888,0.0414472683117349,0.444963855425517,0.288030888030888,0.0611078077375572,0.2471999347442415
Blood,B_M27,T-NK progenitors,1901.0,-0.0899107678731282,-0.0262751244503678,0.2814818938573201,0.1588637559179379,0.0372806157119752,0.193081888617175
Blood,B_M18,Monocytes,29268.0,-0.1004133669535319,-0.0747154647080123,-0.0291513586044312,0.0705890392237255,0.0182218089136221,0.1349881806441667
Brain_spinal_cord,BS_M34,Floorplate and p3 domain,44992.0,0.3403608163197835,0.3423115149509001,1.0584323539733886,0.6651849217638691,0.3109800900145099,0.5576558885320857
