system,node_id,node_name,n_cells,median,mean_ucell,q90,pct_ucell,variance,std
Blood,B_M8,Definitive early erythroblasts (CD36-),929291.0,0.0,0.0188329592727741,0.0618888888888888,0.1184257676013218,0.003459775323524,0.0588198548410653
Blood,B_M11,Hematopoietic stem cells (Cd34+),37750.0,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499
Blood,B_M19,Monocytic myeloid-derived suppressor cells,24741.0,0.0,0.0033044384265434,0.0,0.0214219312073077,0.000653003509492,0.0255539333467863
Blood,B_M25,Regulatory T cells,9800.0,0.0,0.0239902040816326,0.116688888888889,0.1465306122448979,0.0044051856007314,0.0663715722333846
Blood,B_M26,T cells,70028.0,0.0,0.017122393899583,0.0,0.0949334551893528,0.0034540435011949,0.0587711111107736
Blood,B_M15,Megakaryocyte-erythroid progenitors,13436.0,0.0,0.0264352485858886,0.1267222222222222,0.1839833283715391,0.0044750089015404,0.0668955073345019
Blood,B_M5,Border-associated macrophages,65191.0,0.0,0.007769830191284,0.0,0.0488410976975349,0.0015727115106012,0.0396574269286498
Blood,B_M12,Hematopoietic stem cells (Mpo+),23128.0,0.0,0.0095232810638379,0.0,0.0679263230716015,0.0017161458946865,0.0414263912824482
Blood,B_M3,B cell progenitors,1295.0,0.0,0.0293317889317889,0.1462,0.1861003861003861,0.0051151577437156,0.0715203309815859
Blood,B_M27,T-NK progenitors,1901.0,0.0,0.0138961365363259,0.003,0.1004734350341925,0.0024397510975414,0.0493938366351653
Blood,B_M18,Monocytes,29268.0,0.0,0.0056960540901705,0.0,0.0406245729123957,0.0010604886199337,0.0325651442486241
Brain_spinal_cord,BS_M54,Telencephalon,430409.0,0.0,0.1093734411646474,0.3223005968529571,0.302681867711874,0.0334671402664523,0.1829402642024229
Brain_spinal_cord,BS_M20,Hindbrain,197367.0,0.2676795080484717,0.1944043477067215,0.5523602821486706,0.5204365471431395,0.0454577152440473,0.2132081500413323
Brain_spinal_cord,BS_M25,Midbrain,145124.0,0.0,0.1111955629150967,0.3219388677880267,0.3047669579118547,0.0340947598805358,0.1846476641621436
Brain_spinal_cord,BS_M40,Spinal cord/r7/r8,395636.0,0.2801591607885694,0.2003485609844605,0.5545306565382528,0.5359269631681647,0.045215830352988,0.2126401428540434
Brain_spinal_cord,BS_M14,Diencephalon,78021.0,0.2673177789835413,0.1987020069208009,0.5737022969795623,0.5265761782084311,0.0466816276230748,0.2160593150574045
Brain_spinal_cord,BS_M27,Midbrain-hindbrain boundary,66071.0,0.0,0.1690631785234384,0.3309820944112859,0.4839036793752175,0.0373769717221721,0.193331248695528
Brain_spinal_cord,BS_M22,Hypothalamus,53378.0,0.3148851510218846,0.2885750404600444,0.5979381443298969,0.7748697965453932,0.0375985566409522,0.1939034724829656
Brain_spinal_cord,BS_M44,Spinal dI4 interneurons,38632.0,0.0,0.0685788652515395,0.3876182965299685,0.1727324497825637,0.023075199587104,0.1519052322571674
Brain_spinal_cord,BS_M45,Spinal dI5 interneurons,39157.0,0.0,0.0908732471376854,0.4081230283911672,0.2273922925658247,0.0287575125211499,0.1695804013474136
Brain_spinal_cord,BS_M13,Di/mesencephalon glutamatergic neurons,30999.0,0.0,0.0629731950242009,0.3769716088328075,0.1607471208748669,0.0214042004808575,0.1463017446268413
Brain_spinal_cord,BS_M17,GABAergic cortical interneurons,603448.0,0.0,0.0686051464367104,0.38801261829653,0.1756539088703583,0.0230832494412741,0.1519317262498985
Brain_spinal_cord,BS_M41,Spinal dI1 interneurons,35714.0,0.0,0.0653231093356633,0.3801261829652996,0.1675253402027216,0.0216249625990527,0.1470542845314365
Brain_spinal_cord,BS_M12,Di/mesencephalon GABAergic neurons,15589.0,0.0,0.1038728119176488,0.4203470031545742,0.2528064660978895,0.0328373783635145,0.1812108671231239
Brain_spinal_cord,BS_M11,Deep-layer neurons,236402.0,0.0,0.0369367331357213,0.2235410094637201,0.1029094508506696,0.0124167702699905,0.1114305625490175
Brain_spinal_cord,BS_M21,Hypothalamic Sim1 neurons,19592.0,0.0,0.1155904988580931,0.4215299684542587,0.2837893017558187,0.0353261547380582,0.1879525332046849
Brain_spinal_cord,BS_M48,Spinal V1 interneurons,31325.0,0.0,0.1588917323974511,0.4483438485804416,0.3640542697525937,0.0494754269688759,0.222430723976873
Brain_spinal_cord,BS_M31,NMPs and spinal cord progenitors,53734.0,0.3025863628142521,0.2860191864505046,0.6066196418882257,0.7103323780101984,0.0509524869050377,0.2257265755400495
Brain_spinal_cord,BS_M56,Upper-layer neurons,238829.0,0.0,0.0186351884516241,0.0,0.0503707673691218,0.00678095879709,0.082346577324683
Brain_spinal_cord,BS_M42,Spinal dI2 interneurons,21843.0,0.0,0.0751345889529104,0.3876182965299685,0.1937004990157029,0.0240428619095095,0.1550576083573763
Brain_spinal_cord,BS_M26,Midbrain dopaminergic neurons,5495.0,0.0,0.0951567671212429,0.4128548895899053,0.2362147406733394,0.0298703446120702,0.1728303926167796
Brain_spinal_cord,BS_M46,Spinal dI6 interneurons,10964.0,0.0,0.0998397609267841,0.3998422712933753,0.2604888726742065,0.0290562360616484,0.1704588984525255
Brain_spinal_cord,BS_M50,Spinal V2b interneurons,8575.0,0.0,0.0985949269297624,0.4160094637223974,0.2439650145772594,0.030747606637728,0.1753499547696776
Brain_spinal_cord,BS_M24,Intermediate neuronal progenitors,42068.0,0.0,0.0222655770287976,0.0,0.076946847960445,0.0062108385529683,0.0788088735674372
Brain_spinal_cord,BS_M43,Spinal dI3 interneurons,5430.0,0.0,0.0919675276388332,0.3919558359621451,0.2434622467771639,0.026976716736053,0.1642459032550066
Brain_spinal_cord,BS_M49,Spinal V2a interneurons,11065.0,0.0,0.126678959004791,0.4286277602523659,0.309263443289652,0.0377528422711689,0.194300906511444
Brain_spinal_cord,BS_M47,Spinal V0 interneurons,9397.0,0.0,0.1139799298319585,0.4152208201892744,0.2900925827391721,0.0327167303218624,0.1808776667304794
Brain_spinal_cord,BS_M3,Astrocytes,109750.0,0.2745523602821487,0.2187713901149087,0.506800506420692,0.6340501138952164,0.0371565125437079,0.1927602462742458
Brain_spinal_cord,BS_M51,Spinal V3 interneurons,4440.0,0.0,0.1929354235939409,0.4578470031545741,0.4797297297297297,0.0425531001964398,0.2062840279722106
Brain_spinal_cord,BS_M33,Oligodendrocyte progenitor cells,29522.0,0.0,0.0846382603363418,0.2807017543859649,0.3132917823995664,0.0171257767584788,0.1308654910909625
Brain_spinal_cord,BS_M52,Striatal projection neurons,6235.0,0.0,0.0600005944867049,0.3438485804416403,0.1666399358460304,0.0189147024840694,0.1375307328711273
Brain_spinal_cord,BS_M15,Dorsal telencephalon,30144.0,0.0,0.0750209448616616,0.2977030204376921,0.2468816348195329,0.0184601839416799,0.1358682595078037
Brain_spinal_cord,BS_M2,Anterior roof plate,16098.0,0.0,0.0683586702095352,0.2902875746066197,0.2271710771524413,0.0171861235703433,0.1310958564194281
Brain_spinal_cord,BS_M34,Floorplate and p3 domain,44992.0,0.3047567372038343,0.2578311022098147,0.6008319768493399,0.6822546230440967,0.0452450328957174,0.2127087983505087
Brain_spinal_cord,BS_M6,Cerebellum-related cells,9252.0,0.2566467715680954,0.2216068879281877,0.5706095134744076,0.5837656722870731,0.0509024617685315,0.2256157391861913
Brain_spinal_cord,BS_M23,Hypothalamus (Sim1+),14611.0,0.2986073431000181,0.2415497264385263,0.5756918068366793,0.6625829854219424,0.0409451427936319,0.2023490617562431
Brain_spinal_cord,BS_M1,Anterior floor plate,16274.0,0.2675890757822391,0.1739209636885499,0.3262796165671912,0.5374831018802999,0.0295990169648572,0.1720436484292785
Brain_spinal_cord,BS_M7,Choroid plexus,9441.0,0.0,0.090335119315514,0.2825103997106167,0.3430780637644317,0.0174624798590944,0.1321456766568411
Endothelium,En_M5,Endothelium,90215.0,0.0,0.0285445559065688,0.1409555555555562,0.1915202571634429,0.0049264824625313,0.0701889055515991
Endothelium,En_M2,Brain capillary endothelial cells,15179.0,0.0,0.0187198468644545,0.0690444444444445,0.1305751367020225,0.0032837361644394,0.0573038931002021
Epithelial_cells,Ep_M21,Placodal area,60938.0,0.0,0.1163387468501682,0.3268888888888889,0.4584167514522957,0.0242333806925765,0.1556707444980478
Epithelial_cells,Ep_M22,Pre-epidermal keratinocytes,114402.0,0.0,0.068327674924098,0.273,0.3177129770458558,0.0155268432035102,0.1246067542451459
Epithelial_cells,Ep_M20,Pituitary/Pineal gland progenitors,2797.0,0.0296666666666666,0.1224285544035275,0.3185333333333333,0.5205577404361816,0.0230389318550125,0.1517858091358098
Epithelial_cells,Ep_M5,Branchial arch epithelium,41134.0,0.0,0.0656113704261951,0.2833333333333333,0.287183351971605,0.0148550024462279,0.1218810996267587
Epithelial_cells,Ep_M14,Olfactory epithelial cells,33331.0,0.0,0.0292890835691831,0.1353333333333333,0.1760823257628034,0.0059706450510449,0.0772699492108342
Epithelial_cells,Ep_M10,Granular keratinocytes,41185.0,0.0,0.0282803097136228,0.1303333333333333,0.1569989073691878,0.0061822177049651,0.0786270799722659
Epithelial_cells,Ep_M24,Thymic epithelial cells,1937.0,0.0,0.0362581311306143,0.184888888888889,0.1961796592669075,0.0071018115988751,0.0842722469077163
