celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Corticofugal neurons,2807,-0.16453317642211915,-0.22441544335042196,0.0,0.0010687566797292483,0.0915286287238174,0.3025369873648797
Dorsal root ganglion neurons,13077,-0.12990345001220704,-0.03629814873870618,0.0,0.019882235986847137,0.7767928843761441,0.8813585447342892
Enteric neurons,4787,0.0,-0.004637651549068952,0.0,0.012116147900564027,0.6543529189647093,0.8089208360307635
Neural crest (PNS neurons),51569,0.0,0.026468087804793906,0.0,0.011983943842230798,0.6687435755770046,0.8177674336735381
Olfactory sensory neurons,40019,-0.15147602081298828,-0.13461959926992517,0.0,0.010719908043679253,0.5947522173221106,0.7712018006476065
Otic sensory neurons,7844,0.0,0.04734846136631982,0.0,0.01606323304436512,0.880769230264332,0.938493063514234
Parasympathetic neurons,8353,-0.129485502243042,0.06344616000900351,0.0,0.029689931761043935,1.275952879956639,1.1295808425945613
Sympathetic neurons,18369,-0.1262257194519043,0.2558824144818513,0.0,0.05514725896891502,2.6621329089629553,1.6316043972001777
