celltype_new,SHH_UCell_score
Gut,0.1754444444444444
Airway club cells,0.0
Alveolar Type 1 cells,0.0
Airway goblet cells,0.0
Alveolar Type 2 cells,0.0
Biliary epithelial cells,0.0
Extraembryonic visceral endoderm,0.0
Foregut epithelial cells,0.0
Hepatocytes,0.0
Intestinal enteroendocrine cells,0.0
Intestinal goblet cells,0.0
Lung cells (Eln+),0.0
Lung progenitor cells,0.0
Midgut/Hindgut epithelial cells,0.0
Pancreatic acinar cells,0.0
Pancreatic islets,0.0
